"Forecast Date","Vintage Date","Vintage","Station ID","Max Temp","Min Temp","Max Wet Bulb","Min Wet Bulb"
"10/31/2021","10/28/2021","Actual","ALB",55,40,48,39
"10/31/2021","10/28/2021","Actual","ART",51,35,45,34
"10/31/2021","10/28/2021","Actual","BGM",56,36,49,36
"10/31/2021","10/28/2021","Actual","BUF",58,39,50,38
"10/31/2021","10/28/2021","Actual","ELM",63,37,54,36
"10/31/2021","10/28/2021","Actual","ELZ",61,31,53,31
"10/31/2021","10/28/2021","Actual","FOK",53,43,48,41
"10/31/2021","10/28/2021","Actual","FRG",56,50,50,46
"10/31/2021","10/28/2021","Actual","GFL",52,34,46,33
"10/31/2021","10/28/2021","Actual","HPN",57,44,50,42
"10/31/2021","10/28/2021","Actual","IAG",57,40,50,38
"10/31/2021","10/28/2021","Actual","ISP",56,50,50,46
"10/31/2021","10/28/2021","Actual","ITH",61,35,50,35
"10/31/2021","10/28/2021","Actual","JFK",57,48,51,45
"10/31/2021","10/28/2021","Actual","LGA",59,51,50,45
"10/31/2021","10/28/2021","Actual","MSS",50,39,43,37
"10/31/2021","10/28/2021","Actual","MSV",57,34,49,34
"10/31/2021","10/28/2021","Actual","NYC",57,49,50,45
"10/31/2021","10/28/2021","Actual","PLB",51,35,44,34
"10/31/2021","10/28/2021","Actual","POU",59,38,50,37
"10/31/2021","10/28/2021","Actual","ROC",53,36,48,36
"10/31/2021","10/28/2021","Actual","SLK",48,29,42,28
"10/31/2021","10/28/2021","Actual","SWF",59,43,50,41
"10/31/2021","10/28/2021","Actual","SYR",59,37,51,37
"10/31/2021","10/28/2021","Actual","UCA",54,32,47,32
"10/31/2021","10/29/2021","Actual","ALB",56,35,48,35
"10/31/2021","10/29/2021","Actual","ART",59,32,49,32
"10/31/2021","10/29/2021","Actual","BGM",51,42,44,39
"10/31/2021","10/29/2021","Actual","BUF",56,45,51,43
"10/31/2021","10/29/2021","Actual","ELM",54,43,49,42
"10/31/2021","10/29/2021","Actual","ELZ",51,41,48,41
"10/31/2021","10/29/2021","Actual","FOK",56,40,51,39
"10/31/2021","10/29/2021","Actual","FRG",56,47,52,44
"10/31/2021","10/29/2021","Actual","GFL",58,30,47,29
"10/31/2021","10/29/2021","Actual","HPN",53,42,48,39
"10/31/2021","10/29/2021","Actual","IAG",56,46,51,44
"10/31/2021","10/29/2021","Actual","ISP",56,44,52,42
"10/31/2021","10/29/2021","Actual","ITH",55,45,46,43
"10/31/2021","10/29/2021","Actual","JFK",58,47,53,44
"10/31/2021","10/29/2021","Actual","LGA",57,49,51,45
"10/31/2021","10/29/2021","Actual","MSS",55,34,47,34
"10/31/2021","10/29/2021","Actual","MSV",48,38,44,38
"10/31/2021","10/29/2021","Actual","NYC",56,47,51,44
"10/31/2021","10/29/2021","Actual","PLB",53,30,45,29
"10/31/2021","10/29/2021","Actual","POU",54,35,47,35
"10/31/2021","10/29/2021","Actual","ROC",55,44,47,43
"10/31/2021","10/29/2021","Actual","SLK",57,23,45,22
"10/31/2021","10/29/2021","Actual","SWF",52,41,47,39
"10/31/2021","10/29/2021","Actual","SYR",56,43,48,42
"10/31/2021","10/29/2021","Actual","UCA",52,37,45,37
"10/31/2021","10/30/2021","Actual","ALB",60,44,57,42
"10/31/2021","10/30/2021","Actual","ART",54,44,52,43
"10/31/2021","10/30/2021","Actual","BGM",52,42,51,42
"10/31/2021","10/30/2021","Actual","BUF",54,45,51,44
"10/31/2021","10/30/2021","Actual","ELM",55,47,55,45
"10/31/2021","10/30/2021","Actual","ELZ",50,41,49,41
"10/31/2021","10/30/2021","Actual","FOK",63,53,62,51
"10/31/2021","10/30/2021","Actual","FRG",63,54,60,52
"10/31/2021","10/30/2021","Actual","GFL",56,43,52,41
"10/31/2021","10/30/2021","Actual","HPN",61,51,60,50
"10/31/2021","10/30/2021","Actual","IAG",53,46,50,44
"10/31/2021","10/30/2021","Actual","ISP",63,53,62,52
"10/31/2021","10/30/2021","Actual","ITH",54,44,52,43
