"Forecast Date","Vintage Date","Vintage","Station ID","Max Temp","Min Temp","Max Wet Bulb","Min Wet Bulb"
"11/23/2021","11/20/2021","Actual","ALB",43,24,36,23
"11/23/2021","11/20/2021","Actual","ART",42,21,36,20
"11/23/2021","11/20/2021","Actual","BGM",38,25,33,25
"11/23/2021","11/20/2021","Actual","BUF",47,32,38,30
"11/23/2021","11/20/2021","Actual","ELM",44,21,36,20
"11/23/2021","11/20/2021","Actual","ELZ",39,26,32,25
"11/23/2021","11/20/2021","Actual","FOK",47,23,42,21
"11/23/2021","11/20/2021","Actual","FRG",47,31,42,28
"11/23/2021","11/20/2021","Actual","GFL",39,20,34,19
"11/23/2021","11/20/2021","Actual","HPN",44,29,37,27
"11/23/2021","11/20/2021","Actual","IAG",46,32,39,29
"11/23/2021","11/20/2021","Actual","ISP",46,31,41,28
"11/23/2021","11/20/2021","Actual","ITH",41,22,36,21
"11/23/2021","11/20/2021","Actual","JFK",47,33,42,30
"11/23/2021","11/20/2021","Actual","LGA",48,39,42,34
"11/23/2021","11/20/2021","Actual","MSS",43,20,36,19
"11/23/2021","11/20/2021","Actual","MSV",40,22,34,22
"11/23/2021","11/20/2021","Actual","NYC",47,35,41,32
"11/23/2021","11/20/2021","Actual","PLB",40,23,34,22
"11/23/2021","11/20/2021","Actual","POU",45,24,36,23
"11/23/2021","11/20/2021","Actual","ROC",44,30,37,29
"11/23/2021","11/20/2021","Actual","SLK",38,13,32,13
"11/23/2021","11/20/2021","Actual","SWF",45,27,36,26
"11/23/2021","11/20/2021","Actual","SYR",45,29,39,28
"11/23/2021","11/20/2021","Actual","UCA",42,22,37,22
"11/23/2021","11/21/2021","Actual","ALB",49,39,44,35
"11/23/2021","11/21/2021","Actual","ART",50,39,41,34
"11/23/2021","11/21/2021","Actual","BGM",45,32,38,29
"11/23/2021","11/21/2021","Actual","BUF",50,39,43,35
"11/23/2021","11/21/2021","Actual","ELM",50,32,41,30
"11/23/2021","11/21/2021","Actual","ELZ",41,31,37,28
"11/23/2021","11/21/2021","Actual","FOK",59,39,55,37
"11/23/2021","11/21/2021","Actual","FRG",55,41,53,38
"11/23/2021","11/21/2021","Actual","GFL",46,32,40,30
"11/23/2021","11/21/2021","Actual","HPN",53,39,50,36
"11/23/2021","11/21/2021","Actual","IAG",50,34,44,32
"11/23/2021","11/21/2021","Actual","ISP",58,38,56,36
"11/23/2021","11/21/2021","Actual","ITH",46,36,39,32
"11/23/2021","11/21/2021","Actual","JFK",56,43,54,40
"11/23/2021","11/21/2021","Actual","LGA",57,47,53,41
"11/23/2021","11/21/2021","Actual","MSS",46,33,41,31
"11/23/2021","11/21/2021","Actual","MSV",47,28,40,27
"11/23/2021","11/21/2021","Actual","NYC",56,45,52,40
"11/23/2021","11/21/2021","Actual","PLB",47,35,40,31
"11/23/2021","11/21/2021","Actual","POU",52,34,47,32
"11/23/2021","11/21/2021","Actual","ROC",49,40,41,35
"11/23/2021","11/21/2021","Actual","SLK",45,30,37,28
"11/23/2021","11/21/2021","Actual","SWF",52,35,47,33
"11/23/2021","11/21/2021","Actual","SYR",51,38,43,35
"11/23/2021","11/21/2021","Actual","UCA",47,36,41,33
"11/23/2021","11/22/2021","Actual","ALB",48,31,45,28
"11/23/2021","11/22/2021","Actual","ART",46,29,42,26
"11/23/2021","11/22/2021","Actual","BGM",40,24,37,22
"11/23/2021","11/22/2021","Actual","BUF",47,31,44,27
"11/23/2021","11/22/2021","Actual","ELM",44,29,41,25
"11/23/2021","11/22/2021","Actual","ELZ",38,23,38,22
"11/23/2021","11/22/2021","Actual","FOK",59,38,56,32
"11/23/2021","11/22/2021","Actual","FRG",58,37,56,31
"11/23/2021","11/22/2021","Actual","GFL",45,26,43,25
"11/23/2021","11/22/2021","Actual","HPN",53,34,50,28
"11/23/2021","11/22/2021","Actual","IAG",48,31,44,28
"11/23/2021","11/22/2021","Actual","ISP",58,38,56,32
"11/23/2021","11/22/2021","Actual","ITH",41,26,39,24
"11/23/2021","11/22/2021","Actual","JFK",55,37,54,30
"11/23/2021","11/22/2021","Actual","LGA",57,39,52,32
"11/23/2021","11/22/2021","Actual","MSS",45,30,42,26
"11/23/2021","11/22/2021","Actual","MSV",42,26,42,23
"11/23/2021","11/22/2021","Actual","NYC",55,36,52,29
"11/23/2021","11/22/2021","Actual","PLB",43,30,41,27
"11/23/2021","11/22/2021","Actual","POU",52,28,48,26
"11/23/2021","11/22/2021","Actual","ROC",45,30,42,28
"11/23/2021","11/22/2021","Actual","SLK",40,24,38,22
"11/23/2021","11/22/2021","Actual","SWF",50,28,47,25
"11/23/2021","11/22/2021","Actual","SYR",47,31,43,29
"11/23/2021","11/22/2021","Actual","UCA",44,29,41,28
"11/23/2021","11/23/2021","Forecast","ALB",36,27,29,23
"11/23/2021","11/23/2021","Forecast","ART",32,20,27,19
"11/23/2021","11/23/2021","Forecast","BGM",31,24,26,22
"11/23/2021","11/23/2021","Forecast","BUF",37,30,32,27
"11/23/2021","11/23/2021","Forecast","ELM",37,23,30,21
"11/23/2021","11/23/2021","Forecast","ELZ",30,23,26,22
"11/23/2021","11/23/2021","Forecast","FOK",43,27,35,24
"11/23/2021","11/23/2021","Forecast","FRG",43,33,34,28
"11/23/2021","11/23/2021","Forecast","GFL",33,22,27,20
"11/23/2021","11/23/2021","Forecast","HPN",41,29,33,25
"11/23/2021","11/23/2021","Forecast","IAG",38,29,32,26
"11/23/2021","11/23/2021","Forecast","ISP",43,31,34,27
"11/23/2021","11/23/2021","Forecast","ITH",33,25,29,24
"11/23/2021","11/23/2021","Forecast","JFK",44,34,35,28
"11/23/2021","11/23/2021","Forecast","LGA",43,36,34,30
"11/23/2021","11/23/2021","Forecast","MSS",31,22,26,19
"11/23/2021","11/23/2021","Forecast","MSV",34,24,28,22
"11/23/2021","11/23/2021","Forecast","NYC",41,34,33,28
"11/23/2021","11/23/2021","Forecast","PLB",31,25,26,21
"11/23/2021","11/23/2021","Forecast","POU",40,24,32,23
"11/23/2021","11/23/2021","Forecast","ROC",35,29,30,27
"11/23/2021","11/23/2021","Forecast","SLK",25,17,22,16
"11/23/2021","11/23/2021","Forecast","SWF",39,26,31,24
"11/23/2021","11/23/2021","Forecast","SYR",35,29,31,26
"11/23/2021","11/23/2021","Forecast","UCA",31,22,28,21
"11/23/2021","11/24/2021","Forecast","ALB",41,23,34,20
"11/23/2021","11/24/2021","Forecast","ART",41,24,36,22
"11/23/2021","11/24/2021","Forecast","BGM",39,24,33,22
"11/23/2021","11/24/2021","Forecast","BUF",47,30,39,28
"11/23/2021","11/24/2021","Forecast","ELM",46,24,37,23
"11/23/2021","11/24/2021","Forecast","ELZ",41,22,34,21
"11/23/2021","11/24/2021","Forecast","FOK",43,23,35,22
"11/23/2021","11/24/2021","Forecast","FRG",45,29,36,26
"11/23/2021","11/24/2021","Forecast","GFL",38,20,30,18
"11/23/2021","11/24/2021","Forecast","HPN",43,27,35,24
"11/23/2021","11/24/2021","Forecast","IAG",48,30,40,27
"11/23/2021","11/24/2021","Forecast","ISP",44,29,35,26
"11/23/2021","11/24/2021","Forecast","ITH",42,25,35,24
"11/23/2021","11/24/2021","Forecast","JFK",45,31,37,27
"11/23/2021","11/24/2021","Forecast","LGA",47,35,38,29
"11/23/2021","11/24/2021","Forecast","MSS",39,19,33,18
"11/23/2021","11/24/2021","Forecast","MSV",40,21,33,20
"11/23/2021","11/24/2021","Forecast","NYC",45,32,36,27
"11/23/2021","11/24/2021","Forecast","PLB",36,21,29,19
"11/23/2021","11/24/2021","Forecast","POU",44,22,35,20
"11/23/2021","11/24/2021","Forecast","ROC",47,27,39,25
"11/23/2021","11/24/2021","Forecast","SLK",35,13,29,12
"11/23/2021","11/24/2021","Forecast","SWF",44,24,36,22
"11/23/2021","11/24/2021","Forecast","SYR",44,26,38,24
"11/23/2021","11/24/2021","Forecast","UCA",38,21,33,20
