Forecast Date,Vintage Date,Vintage,Station ID,Max Temp,Min Temp,Max Wet Bulb,Min Wet Bulb,                                                                                                              
09/25/2019,09/24/2019,Actual,PLB,64,54,61,52                                                                                                                                                            
09/25/2019,09/24/2019,Actual,POU,76,54,64,51                                                                                                                                                            
09/25/2019,09/24/2019,Actual,ROC,68,56,59,54                                                                                                                                                            
09/25/2019,09/24/2019,Actual,SLK,59,50,57,49                                                                                                                                                            
09/25/2019,09/24/2019,Actual,SWF,75,57,65,54                                                                                                                                                            
09/25/2019,09/24/2019,Actual,SYR,66,56,60,53                                                                                                                                                            
09/25/2019,09/24/2019,Actual,UCA,64,55,60,54                                                                                                                                                            
09/25/2019,09/25/2019,Forecast,ALB,74,52,60,49                                                                                                                                                          
09/25/2019,09/25/2019,Forecast,ART,73,41,63,41                                                                                                                                                          
09/25/2019,09/25/2019,Forecast,BGM,71,49,60,48                                                                                                                                                          
09/25/2019,09/25/2019,Forecast,BUF,76,55,63,53                                                                                                                                                          
09/25/2019,09/25/2019,Forecast,ELM,77,46,63,45                                                                                                                                                          
09/25/2019,09/25/2019,Forecast,ELZ,71,49,60,48                                                                                                                                                          
09/25/2019,09/25/2019,Forecast,FOK,71,45,61,43                                                                                                                                                          
09/25/2019,09/25/2019,Forecast,FRG,73,56,62,52                                                                                                                                                          
09/25/2019,09/25/2019,Forecast,GFL,71,46,59,45                                                                                                                                                          
09/25/2019,09/25/2019,Forecast,HPN,74,54,60,51                                                                                                                                                          
09/25/2019,09/25/2019,Forecast,IAG,75,53,63,52                                                                                                                                                          
09/25/2019,09/25/2019,Forecast,ISP,73,54,62,52                                                                                                                                                          
09/25/2019,09/25/2019,Forecast,ITH,75,45,63,44                                                                                                                                                          
09/25/2019,09/25/2019,Forecast,JFK,75,61,63,55                                                                                                                                                          
09/25/2019,09/25/2019,Forecast,LGA,77,62,62,55                                                                                                                                                          
09/25/2019,09/25/2019,Forecast,MSS,71,47,61,46                                                                                                                                                          
09/25/2019,09/25/2019,Forecast,MSV,72,44,59,43                                                                                                                                                          
09/25/2019,09/25/2019,Forecast,NYC,76,60,61,54                                                                                                                                                          
09/25/2019,09/25/2019,Forecast,PLB,67,53,57,51                                                                                                                                                          
09/25/2019,09/25/2019,Forecast,POU,76,48,61,46                                                                                                                                                          
09/25/2019,09/25/2019,Forecast,ROC,79,51,65,50                                                                                                                                                          
09/25/2019,09/25/2019,Forecast,SLK,67,45,57,45                                                                                                                                                          
09/25/2019,09/25/2019,Forecast,SWF,76,50,61,50                                                                                                                                                          
09/25/2019,09/25/2019,Forecast,SYR,76,50,64,49                                                                                                                                                          
09/25/2019,09/25/2019,Forecast,UCA,74,48,63,47                                                                                                                                                          
09/25/2019,09/26/2019,Forecast,ALB,71,57,62,53                                                                                                                                                          
09/25/2019,09/26/2019,Forecast,ART,65,53,60,50                                                                                                                                                          
09/25/2019,09/26/2019,Forecast,BGM,65,54,58,50                                                                                                                                                          
09/25/2019,09/26/2019,Forecast,BUF,68,58,61,51                                                                                                                                                          
