"Time Stamp","Name","PTID","LBMP ($/MWHr)","Marginal Cost Losses ($/MWHr)","Marginal Cost Congestion ($/MWH"
"03/18/2016 00:00","CAPITL",61757,22.00,0.01,-21.89
"03/18/2016 00:00","CENTRL",61754,2.46,0.00,-2.35
"03/18/2016 00:00","DUNWOD",61760,16.57,0.01,-16.46
"03/18/2016 00:00","GENESE",61753,1.94,0.00,-1.84
"03/18/2016 00:00","H Q",61844,0.10,0.00,0.00
"03/18/2016 00:00","HUD VL",61758,16.04,0.01,-15.93
"03/18/2016 00:00","LONGIL",61762,16.60,0.01,-16.49
"03/18/2016 00:00","MHK VL",61756,2.23,0.00,-2.13
"03/18/2016 00:00","MILLWD",61759,16.72,0.01,-16.61
"03/18/2016 00:00","N.Y.C.",61761,16.60,0.01,-16.48
"03/18/2016 00:00","NORTH",61755,0.10,0.00,0.00
"03/18/2016 00:00","NPX",61845,19.12,0.01,-19.01
"03/18/2016 00:00","O H",61846,0.79,0.00,-0.69
"03/18/2016 00:00","PJM",61847,10.52,0.01,-10.41
"03/18/2016 00:00","WEST",61752,2.60,0.00,-2.50
"03/18/2016 01:00","CAPITL",61757,17.04,0.02,-16.79
"03/18/2016 01:00","CENTRL",61754,2.05,0.00,-1.80
"03/18/2016 01:00","DUNWOD",61760,12.88,0.02,-12.62
"03/18/2016 01:00","GENESE",61753,1.65,0.00,-1.41
"03/18/2016 01:00","H Q",61844,0.23,-0.01,0.00
"03/18/2016 01:00","HUD VL",61758,12.48,0.02,-12.21
"03/18/2016 01:00","LONGIL",61762,12.91,0.03,-12.64
"03/18/2016 01:00","MHK VL",61756,1.87,0.00,-1.63
"03/18/2016 01:00","MILLWD",61759,13.00,0.02,-12.74
"03/18/2016 01:00","N.Y.C.",61761,12.90,0.03,-12.64
"03/18/2016 01:00","NORTH",61755,0.23,-0.01,0.00
"03/18/2016 01:00","NPX",61845,14.83,0.02,-14.57
"03/18/2016 01:00","O H",61846,0.52,0.00,-0.28
"03/18/2016 01:00","PJM",61847,8.24,0.02,-7.98
"03/18/2016 01:00","WEST",61752,2.16,0.01,-1.92
"03/18/2016 02:00","CAPITL",61757,15.45,0.01,-15.34
"03/18/2016 02:00","CENTRL",61754,1.76,0.00,-1.65
"03/18/2016 02:00","DUNWOD",61760,11.65,0.01,-11.53
"03/18/2016 02:00","GENESE",61753,1.39,0.00,-1.29
"03/18/2016 02:00","H Q",61844,0.10,0.00,0.00
"03/18/2016 02:00","HUD VL",61758,11.28,0.01,-11.16
"03/18/2016 02:00","LONGIL",61762,11.67,0.01,-11.55
"03/18/2016 02:00","MHK VL",61756,1.60,0.00,-1.49
"03/18/2016 02:00","MILLWD",61759,11.75,0.01,-11.64
"03/18/2016 02:00","N.Y.C.",61761,11.66,0.01,-11.55
"03/18/2016 02:00","NORTH",61755,0.10,0.00,0.00
"03/18/2016 02:00","NPX",61845,13.43,0.01,-13.31
"03/18/2016 02:00","O H",61846,0.47,0.00,-0.36
"03/18/2016 02:00","PJM",61847,7.41,0.01,-7.29
"03/18/2016 02:00","WEST",61752,1.86,0.00,-1.75
"03/18/2016 03:00","CAPITL",61757,15.21,0.01,-15.09
"03/18/2016 03:00","CENTRL",61754,1.73,0.00,-1.62
"03/18/2016 03:00","DUNWOD",61760,11.47,0.01,-11.35
"03/18/2016 03:00","GENESE",61753,1.38,0.00,-1.27
"03/18/2016 03:00","H Q",61844,0.11,0.00,0.00
"03/18/2016 03:00","HUD VL",61758,11.10,0.01,-10.98
"03/18/2016 03:00","LONGIL",61762,11.49,0.01,-11.37
"03/18/2016 03:00","MHK VL",61756,1.58,0.00,-1.47
"03/18/2016 03:00","MILLWD",61759,11.57,0.01,-11.45
"03/18/2016 03:00","N.Y.C.",61761,11.48,0.01,-11.36
"03/18/2016 03:00","NORTH",61755,0.10,0.00,0.00
"03/18/2016 03:00","NPX",61845,13.22,0.01,-13.10
"03/18/2016 03:00","O H",61846,0.47,0.00,-0.36
"03/18/2016 03:00","PJM",61847,7.29,0.01,-7.18
"03/18/2016 03:00","WEST",61752,1.83,0.00,-1.72
"03/18/2016 04:00","CAPITL",61757,15.39,0.03,-14.92
"03/18/2016 04:00","CENTRL",61754,2.05,0.01,-1.60
"03/18/2016 04:00","DUNWOD",61760,11.70,0.04,-11.22
"03/18/2016 04:00","GENESE",61753,1.68,0.00,-1.25
"03/18/2016 04:00","H Q",61844,0.42,-0.01,0.00
"03/18/2016 04:00","HUD VL",61758,11.34,0.04,-10.86
"03/18/2016 04:00","LONGIL",61762,11.73,0.05,-11.24
"03/18/2016 04:00","MHK VL",61756,1.89,0.01,-1.45
"03/18/2016 04:00","MILLWD",61759,11.80,0.04,-11.32
"03/18/2016 04:00","N.Y.C.",61761,11.72,0.05,-11.24
"03/18/2016 04:00","NORTH",61755,0.42,-0.02,0.00
"03/18/2016 04:00","NPX",61845,13.42,0.03,-12.95
"03/18/2016 04:00","O H",61846,0.49,0.01,-0.05
"03/18/2016 04:00","PJM",61847,7.56,0.03,-7.10
"03/18/2016 04:00","WEST",61752,2.15,0.01,-1.70
"03/18/2016 05:00","CAPITL",61757,19.42,0.05,-18.70
"03/18/2016 05:00","CENTRL",61754,2.70,0.01,-2.01
"03/18/2016 05:00","DUNWOD",61760,14.80,0.07,-14.06
"03/18/2016 05:00","GENESE",61753,2.24,-0.01,-1.57
"03/18/2016 05:00","H Q",61844,0.66,-0.02,0.00
"03/18/2016 05:00","HUD VL",61758,14.35,0.07,-13.60
"03/18/2016 05:00","LONGIL",61762,14.85,0.09,-14.08
"03/18/2016 05:00","MHK VL",61756,2.50,0.01,-1.82
"03/18/2016 05:00","MILLWD",61759,14.93,0.07,-14.19
"03/18/2016 05:00","N.Y.C.",61761,14.83,0.07,-14.08
"03/18/2016 05:00","NORTH",61755,0.65,-0.02,0.00
"03/18/2016 05:00","NPX",61845,16.96,0.05,-16.23
"03/18/2016 05:00","O H",61846,0.75,0.00,-0.07
"03/18/2016 05:00","PJM",61847,9.62,0.05,-8.89
"03/18/2016 05:00","WEST",61752,2.83,0.02,-2.13
"03/18/2016 06:00","CAPITL",61757,22.74,0.76,-11.30
"03/18/2016 06:00","CENTRL",61754,13.63,0.38,-2.56
"03/18/2016 06:00","DUNWOD",61760,20.40,1.28,-8.44
"03/18/2016 06:00","GENESE",61753,11.85,0.21,-0.95
"03/18/2016 06:00","H Q",61844,6.00,-0.42,4.27
"03/18/2016 06:00","HUD VL",61758,20.10,1.28,-8.14
"03/18/2016 06:00","LONGIL",61762,20.69,1.56,-8.45
"03/18/2016 06:00","MHK VL",61756,12.02,0.29,-1.05
"03/18/2016 06:00","MILLWD",61759,20.51,1.31,-8.52
"03/18/2016 06:00","N.Y.C.",61761,20.46,1.34,-8.45
"03/18/2016 06:00","NORTH",61755,10.05,-0.63,0.00
"03/18/2016 06:00","NPX",61845,21.41,0.94,-9.79
"03/18/2016 06:00","O H",61846,1.26,0.40,9.82
"03/18/2016 06:00","PJM",61847,19.37,0.99,-7.69
"03/18/2016 06:00","WEST",61752,27.55,0.67,-16.19
"03/18/2016 07:00","CAPITL",61757,25.59,1.28,-8.11
"03/18/2016 07:00","CENTRL",61754,20.15,0.70,-3.25
"03/18/2016 07:00","DUNWOD",61760,24.33,2.07,-6.05
"03/18/2016 07:00","GENESE",61753,17.34,0.45,-0.68
"03/18/2016 07:00","H Q",61844,13.70,-0.67,1.84
"03/18/2016 07:00","HUD VL",61758,24.04,1.99,-5.84
"03/18/2016 07:00","LONGIL",61762,24.50,2.24,-6.06
"03/18/2016 07:00","MHK VL",61756,17.36,0.41,-0.75
"03/18/2016 07:00","MILLWD",61759,24.45,2.14,-6.11
"03/18/2016 07:00","N.Y.C.",61761,24.44,2.17,-6.06
"03/18/2016 07:00","NORTH",61755,15.15,-1.05,0.00
"03/18/2016 07:00","NPX",61845,24.82,1.59,-7.02
"03/18/2016 07:00","O H",61846,4.00,0.99,13.19
"03/18/2016 07:00","PJM",61847,25.86,1.65,-8.00
"03/18/2016 07:00","WEST",61752,45.00,1.51,-27.29
"03/18/2016 08:00","CAPITL",61757,26.18,1.24,-9.01
"03/18/2016 08:00","CENTRL",61754,19.57,0.62,-3.02
"03/18/2016 08:00","DUNWOD",61760,24.71,2.06,-6.73
"03/18/2016 08:00","GENESE",61753,17.08,0.40,-0.76
"03/18/2016 08:00","H Q",61844,13.70,-0.59,1.64
"03/18/2016 08:00","HUD VL",61758,24.39,1.97,-6.49
"03/18/2016 08:00","LONGIL",61762,24.85,2.18,-6.74
"03/18/2016 08:00","MHK VL",61756,17.11,0.35,-0.84
"03/18/2016 08:00","MILLWD",61759,24.80,2.09,-6.79
"03/18/2016 08:00","N.Y.C.",61761,24.83,2.17,-6.74
"03/18/2016 08:00","NORTH",61755,15.00,-0.92,0.00
"03/18/2016 08:00","NPX",61845,25.26,1.53,-7.81
"03/18/2016 08:00","O H",61846,4.00,0.72,12.64
"03/18/2016 08:00","PJM",61847,25.30,1.51,-7.86
