"Time Stamp","Name","PTID","LBMP ($/MWHr)","Marginal Cost Losses ($/MWHr)","Marginal Cost Congestion ($/MWH"
"11/27/2015 00:00","CAPITL",61757,19.92,0.19,-16.75
"11/27/2015 00:00","CENTRL",61754,3.89,0.01,-0.90
"11/27/2015 00:00","DUNWOD",61760,16.58,0.31,-13.30
"11/27/2015 00:00","GENESE",61753,3.61,-0.07,-0.72
"11/27/2015 00:00","H Q",61844,2.90,-0.07,0.00
"11/27/2015 00:00","HUD VL",61758,16.00,0.29,-12.74
"11/27/2015 00:00","LONGIL",61762,18.96,0.43,-15.56
"11/27/2015 00:00","MHK VL",61756,4.43,0.07,-1.39
"11/27/2015 00:00","MILLWD",61759,16.55,0.31,-13.27
"11/27/2015 00:00","N.Y.C.",61761,16.61,0.34,-13.30
"11/27/2015 00:00","NORTH",61755,2.82,-0.15,0.00
"11/27/2015 00:00","NPX",61845,18.54,0.24,-15.32
"11/27/2015 00:00","O H",61846,3.90,-0.05,-0.98
"11/27/2015 00:00","PJM",61847,11.65,0.19,-8.49
"11/27/2015 00:00","WEST",61752,3.91,0.02,-0.92
"11/27/2015 01:00","CAPITL",61757,19.65,0.14,-17.36
"11/27/2015 01:00","CENTRL",61754,3.09,0.01,-0.94
"11/27/2015 01:00","DUNWOD",61760,16.14,0.22,-13.78
"11/27/2015 01:00","GENESE",61753,2.83,-0.06,-0.74
"11/27/2015 01:00","H Q",61844,2.09,-0.05,0.00
"11/27/2015 01:00","HUD VL",61758,15.55,0.20,-13.21
"11/27/2015 01:00","LONGIL",61762,17.58,0.30,-15.14
"11/27/2015 01:00","MHK VL",61756,3.63,0.05,-1.44
"11/27/2015 01:00","MILLWD",61759,16.11,0.22,-13.76
"11/27/2015 01:00","N.Y.C.",61761,16.16,0.24,-13.78
"11/27/2015 01:00","NORTH",61755,2.03,-0.11,0.00
"11/27/2015 01:00","NPX",61845,18.20,0.18,-15.89
"11/27/2015 01:00","O H",61846,3.12,-0.03,-1.01
"11/27/2015 01:00","PJM",61847,11.08,0.13,-8.81
"11/27/2015 01:00","WEST",61752,3.11,0.02,-0.95
"11/27/2015 02:00","CAPITL",61757,15.13,0.16,-12.60
"11/27/2015 02:00","CENTRL",61754,3.06,0.02,-0.68
"11/27/2015 02:00","DUNWOD",61760,12.61,0.24,-10.00
"11/27/2015 02:00","GENESE",61753,2.85,-0.05,-0.54
"11/27/2015 02:00","H Q",61844,2.31,-0.06,0.00
"11/27/2015 02:00","HUD VL",61758,12.17,0.22,-9.59
"11/27/2015 02:00","LONGIL",61762,16.93,0.33,-14.23
"11/27/2015 02:00","MHK VL",61756,3.47,0.06,-1.04
"11/27/2015 02:00","MILLWD",61759,12.59,0.23,-9.98
"11/27/2015 02:00","N.Y.C.",61761,12.62,0.25,-10.00
"11/27/2015 02:00","NORTH",61755,2.24,-0.13,0.00
"11/27/2015 02:00","NPX",61845,14.10,0.20,-11.53
"11/27/2015 02:00","O H",61846,3.09,-0.01,-0.73
"11/27/2015 02:00","PJM",61847,8.91,0.15,-6.39
"11/27/2015 02:00","WEST",61752,3.10,0.04,-0.69
"11/27/2015 03:00","CAPITL",61757,13.37,0.17,-10.73
"11/27/2015 03:00","CENTRL",61754,3.07,0.01,-0.58
"11/27/2015 03:00","DUNWOD",61760,11.24,0.25,-8.51
"11/27/2015 03:00","GENESE",61753,2.89,-0.04,-0.46
"11/27/2015 03:00","H Q",61844,2.41,-0.06,0.00
"11/27/2015 03:00","HUD VL",61758,10.86,0.23,-8.16
"11/27/2015 03:00","LONGIL",61762,16.74,0.34,-13.92
"11/27/2015 03:00","MHK VL",61756,3.42,0.06,-0.89
"11/27/2015 03:00","MILLWD",61759,11.22,0.24,-8.50
"11/27/2015 03:00","N.Y.C.",61761,11.25,0.26,-8.51
"11/27/2015 03:00","NORTH",61755,2.35,-0.13,0.00
"11/27/2015 03:00","NPX",61845,12.50,0.21,-9.81
"11/27/2015 03:00","O H",61846,3.08,-0.02,-0.62
"11/27/2015 03:00","PJM",61847,8.07,0.15,-5.44
"11/27/2015 03:00","WEST",61752,3.10,0.03,-0.59
"11/27/2015 04:00","CAPITL",61757,14.43,0.16,-11.84
"11/27/2015 04:00","CENTRL",61754,3.08,0.01,-0.64
"11/27/2015 04:00","DUNWOD",61760,12.07,0.24,-9.39
"11/27/2015 04:00","GENESE",61753,2.89,-0.05,-0.51
"11/27/2015 04:00","H Q",61844,2.37,-0.06,0.00
"11/27/2015 04:00","HUD VL",61758,11.66,0.23,-9.00
"11/27/2015 04:00","LONGIL",61762,16.86,0.34,-14.10
"11/27/2015 04:00","MHK VL",61756,3.46,0.06,-0.98
"11/27/2015 04:00","MILLWD",61759,12.04,0.24,-9.38
"11/27/2015 04:00","N.Y.C.",61761,12.08,0.26,-9.39
"11/27/2015 04:00","NORTH",61755,2.31,-0.12,0.00
"11/27/2015 04:00","NPX",61845,13.46,0.20,-10.83
"11/27/2015 04:00","O H",61846,3.09,-0.03,-0.69
"11/27/2015 04:00","PJM",61847,8.58,0.15,-6.00
"11/27/2015 04:00","WEST",61752,3.10,0.02,-0.65
"11/27/2015 05:00","CAPITL",61757,14.61,0.21,-11.33
"11/27/2015 05:00","CENTRL",61754,3.69,0.01,-0.61
