"Time Stamp","Name","PTID","LBMP ($/MWHr)","Marginal Cost Losses ($/MWHr)","Marginal Cost Congestion ($/MWH"
"08/30/2015 00:00","CAPITL",61757,22.50,0.60,-6.23
"08/30/2015 00:00","CENTRL",61754,16.04,-0.25,-0.62
"08/30/2015 00:00","DUNWOD",61760,22.00,1.47,-4.85
"08/30/2015 00:00","GENESE",61753,15.48,-0.69,-0.50
"08/30/2015 00:00","H Q",61844,15.67,0.00,0.00
"08/30/2015 00:00","HUD VL",61758,21.91,1.43,-4.81
"08/30/2015 00:00","LONGIL",61762,22.55,2.02,-4.85
"08/30/2015 00:00","MHK VL",61756,16.44,0.03,-0.73
"08/30/2015 00:00","MILLWD",61759,22.00,1.46,-4.87
"08/30/2015 00:00","N.Y.C.",61761,22.14,1.61,-4.86
"08/30/2015 00:00","NORTH",61755,13.07,-2.37,0.23
"08/30/2015 00:00","NPX",61845,22.21,0.91,-5.63
"08/30/2015 00:00","O H",61846,15.17,-1.18,-0.67
"08/30/2015 00:00","PJM",61847,19.33,0.45,-3.20
"08/30/2015 00:00","WEST",61752,15.32,-1.00,-0.65
"08/30/2015 01:00","CAPITL",61757,20.78,0.51,-7.23
"08/30/2015 01:00","CENTRL",61754,13.58,-0.18,-0.72
"08/30/2015 01:00","DUNWOD",61760,19.88,1.21,-5.63
"08/30/2015 01:00","GENESE",61753,13.04,-0.59,-0.58
"08/30/2015 01:00","H Q",61844,13.04,0.00,0.00
"08/30/2015 01:00","HUD VL",61758,19.80,1.17,-5.58
"08/30/2015 01:00","LONGIL",61762,20.23,1.56,-5.63
"08/30/2015 01:00","MHK VL",61756,13.84,-0.05,-0.85
"08/30/2015 01:00","MILLWD",61759,19.89,1.20,-5.65
"08/30/2015 01:00","N.Y.C.",61761,19.99,1.32,-5.63
"08/30/2015 01:00","NORTH",61755,10.33,-2.44,0.27
"08/30/2015 01:00","NPX",61845,20.34,0.77,-6.53
"08/30/2015 01:00","O H",61846,13.00,-0.82,-0.78
"08/30/2015 01:00","PJM",61847,17.17,0.42,-3.72
"08/30/2015 01:00","WEST",61752,13.15,-0.65,-0.76
"08/30/2015 02:00","CAPITL",61757,19.92,0.53,-7.14
"08/30/2015 02:00","CENTRL",61754,12.78,-0.18,-0.71
"08/30/2015 02:00","DUNWOD",61760,18.87,1.07,-5.56
"08/30/2015 02:00","GENESE",61753,12.29,-0.54,-0.58
"08/30/2015 02:00","H Q",61844,12.25,0.00,0.00
"08/30/2015 02:00","HUD VL",61758,18.81,1.04,-5.52
"08/30/2015 02:00","LONGIL",61762,19.12,1.31,-5.56
"08/30/2015 02:00","MHK VL",61756,13.05,-0.04,-0.84
"08/30/2015 02:00","MILLWD",61759,18.89,1.05,-5.59
"08/30/2015 02:00","N.Y.C.",61761,18.98,1.16,-5.57
"08/30/2015 02:00","NORTH",61755,9.78,-2.20,0.26
"08/30/2015 02:00","NPX",61845,19.40,0.70,-6.45
"08/30/2015 02:00","O H",61846,12.20,-0.82,-0.77
"08/30/2015 02:00","PJM",61847,16.25,0.33,-3.67
"08/30/2015 02:00","WEST",61752,12.32,-0.67,-0.75
"08/30/2015 03:00","CAPITL",61757,16.46,0.48,-4.80
"08/30/2015 03:00","CENTRL",61754,11.50,-0.16,-0.48
"08/30/2015 03:00","DUNWOD",61760,15.87,0.95,-3.74
"08/30/2015 03:00","GENESE",61753,11.10,-0.47,-0.39
"08/30/2015 03:00","H Q",61844,11.18,0.00,0.00
"08/30/2015 03:00","HUD VL",61758,15.82,0.93,-3.71
"08/30/2015 03:00","LONGIL",61762,16.11,1.18,-3.74
"08/30/2015 03:00","MHK VL",61756,11.70,-0.04,-0.57
"08/30/2015 03:00","MILLWD",61759,15.88,0.94,-3.76
"08/30/2015 03:00","N.Y.C.",61761,15.95,1.03,-3.74
"08/30/2015 03:00","NORTH",61755,9.00,-2.00,0.18
"08/30/2015 03:00","NPX",61845,16.16,0.64,-4.34
"08/30/2015 03:00","O H",61846,10.99,-0.70,-0.52
"08/30/2015 03:00","PJM",61847,13.94,0.29,-2.47
"08/30/2015 03:00","WEST",61752,11.11,-0.57,-0.50
