"Time Stamp","Name","PTID","LBMP ($/MWHr)","Marginal Cost Losses ($/MWHr)","Marginal Cost Congestion ($/MWH"
"09/07/2015 00:00","CAPITL",61757,21.16,1.29,0.00
"09/07/2015 00:00","CENTRL",61754,20.29,0.42,0.00
"09/07/2015 00:00","DUNWOD",61760,21.94,2.07,0.00
"09/07/2015 00:00","GENESE",61753,20.11,0.24,0.00
"09/07/2015 00:00","H Q",61844,19.10,-0.78,0.00
"09/07/2015 00:00","HUD VL",61758,21.88,2.01,0.00
"09/07/2015 00:00","LONGIL",61762,22.65,2.78,0.00
"09/07/2015 00:00","MHK VL",61756,20.49,0.62,0.00
"09/07/2015 00:00","MILLWD",61759,21.90,2.03,0.00
"09/07/2015 00:00","N.Y.C.",61761,22.10,2.23,0.00
"09/07/2015 00:00","NORTH",61755,18.72,-1.15,0.00
"09/07/2015 00:00","NPX",61845,21.48,1.61,0.00
"09/07/2015 00:00","O H",61846,20.03,0.16,0.00
"09/07/2015 00:00","PJM",61847,21.10,1.23,0.00
"09/07/2015 00:00","WEST",61752,20.35,0.48,0.00
"09/07/2015 01:00","CAPITL",61757,19.50,1.19,0.00
"09/07/2015 01:00","CENTRL",61754,18.64,0.33,0.00
"09/07/2015 01:00","DUNWOD",61760,20.09,1.78,0.00
"09/07/2015 01:00","GENESE",61753,18.46,0.15,0.00
"09/07/2015 01:00","H Q",61844,17.65,-0.66,0.00
"09/07/2015 01:00","HUD VL",61758,20.05,1.74,0.00
"09/07/2015 01:00","LONGIL",61762,20.58,2.27,0.00
"09/07/2015 01:00","MHK VL",61756,18.86,0.55,0.00
"09/07/2015 01:00","MILLWD",61759,20.07,1.76,0.00
"09/07/2015 01:00","N.Y.C.",61761,20.24,1.92,0.00
"09/07/2015 01:00","NORTH",61755,17.42,-0.90,0.00
"09/07/2015 01:00","NPX",61845,19.74,1.43,0.00
"09/07/2015 01:00","O H",61846,18.39,0.07,0.00
"09/07/2015 01:00","PJM",61847,19.36,1.04,0.00
