"Time Stamp","Name","PTID","LBMP ($/MWHr)","Marginal Cost Losses ($/MWHr)","Marginal Cost Congestion ($/MWH"
"12/16/2015 00:00","CAPITL",61757,20.84,0.30,-16.08
"12/16/2015 00:00","CENTRL",61754,6.02,0.08,-1.48
"12/16/2015 00:00","DUNWOD",61760,16.00,0.54,-11.00
"12/16/2015 00:00","GENESE",61753,5.59,-0.02,-1.16
"12/16/2015 00:00","H Q",61844,4.36,-0.10,0.00
"12/16/2015 00:00","HUD VL",61758,15.81,0.51,-10.84
"12/16/2015 00:00","LONGIL",61762,16.17,0.70,-11.00
"12/16/2015 00:00","MHK VL",61756,6.01,0.16,-1.39
"12/16/2015 00:00","MILLWD",61759,16.05,0.54,-11.05
"12/16/2015 00:00","N.Y.C.",61761,16.05,0.58,-11.01
"12/16/2015 00:00","NORTH",61755,4.06,-0.11,0.29
"12/16/2015 00:00","NPX",61845,18.70,0.39,-13.85
"12/16/2015 00:00","O H",61846,6.00,-0.07,-1.61
"12/16/2015 00:00","PJM",61847,11.99,0.33,-7.20
"12/16/2015 00:00","WEST",61752,5.97,0.03,-1.48
"12/16/2015 01:00","CAPITL",61757,15.45,0.28,-10.92
"12/16/2015 01:00","CENTRL",61754,5.32,0.06,-1.01
"12/16/2015 01:00","DUNWOD",61760,12.24,0.51,-7.47
"12/16/2015 01:00","GENESE",61753,4.99,-0.04,-0.79
"12/16/2015 01:00","H Q",61844,4.16,-0.09,0.00
"12/16/2015 01:00","HUD VL",61758,12.11,0.49,-7.36
"12/16/2015 01:00","LONGIL",61762,12.42,0.68,-7.49
"12/16/2015 01:00","MHK VL",61756,5.34,0.15,-0.94
"12/16/2015 01:00","MILLWD",61759,12.28,0.52,-7.51
"12/16/2015 01:00","N.Y.C.",61761,12.28,0.55,-7.48
"12/16/2015 01:00","NORTH",61755,3.95,-0.10,0.19
"12/16/2015 01:00","NPX",61845,14.03,0.37,-9.41
"12/16/2015 01:00","O H",61846,5.27,-0.07,-1.09
"12/16/2015 01:00","PJM",61847,9.46,0.31,-4.89
"12/16/2015 01:00","WEST",61752,5.27,0.01,-1.01
"12/16/2015 02:00","CAPITL",61757,13.17,0.28,-8.76
"12/16/2015 02:00","CENTRL",61754,5.00,0.06,-0.81
"12/16/2015 02:00","DUNWOD",61760,10.61,0.48,-5.99
"12/16/2015 02:00","GENESE",61753,4.73,-0.03,-0.63
