"Time Stamp","Name","PTID","LBMP ($/MWHr)","Marginal Cost Losses ($/MWHr)","Marginal Cost Congestion ($/MWH"
"01/25/2016 00:00","CAPITL",61757,36.25,2.62,0.00
"01/25/2016 00:00","CENTRL",61754,34.29,0.67,0.00
"01/25/2016 00:00","DUNWOD",61760,37.15,3.53,0.00
"01/25/2016 00:00","GENESE",61753,33.35,-0.27,0.00
"01/25/2016 00:00","H Q",61844,32.58,-1.04,0.00
"01/25/2016 00:00","HUD VL",61758,37.02,3.39,0.00
"01/25/2016 00:00","LONGIL",61762,39.19,5.55,-0.02
"01/25/2016 00:00","MHK VL",61756,35.10,1.48,0.00
"01/25/2016 00:00","MILLWD",61759,37.15,3.53,0.00
"01/25/2016 00:00","N.Y.C.",61761,37.39,3.76,0.00
"01/25/2016 00:00","NORTH",61755,31.77,-1.85,0.00
"01/25/2016 00:00","NPX",61845,36.65,3.03,0.00
"01/25/2016 00:00","O H",61846,32.78,-0.84,0.00
"01/25/2016 00:00","PJM",61847,35.44,1.81,0.00
"01/25/2016 00:00","WEST",61752,33.39,-0.23,0.00
"01/25/2016 01:00","CAPITL",61757,31.96,2.34,0.00
"01/25/2016 01:00","CENTRL",61754,30.33,0.71,0.00
"01/25/2016 01:00","DUNWOD",61760,32.71,3.08,0.00
"01/25/2016 01:00","GENESE",61753,29.65,0.03,0.00
"01/25/2016 01:00","H Q",61844,20.00,-0.98,8.65
"01/25/2016 01:00","HUD VL",61758,32.62,2.99,0.00
"01/25/2016 01:00","LONGIL",61762,35.14,4.41,-1.10
"01/25/2016 01:00","MHK VL",61756,30.99,1.36,0.00
"01/25/2016 01:00","MILLWD",61759,32.73,3.11,0.00
"01/25/2016 01:00","N.Y.C.",61761,32.91,3.29,0.00
"01/25/2016 01:00","NORTH",61755,27.70,-1.93,0.00
"01/25/2016 01:00","NPX",61845,32.26,2.64,0.00
"01/25/2016 01:00","O H",61846,29.06,-0.56,0.00
