Time Stamp,Name,PTID,LBMP ($/MWHr),Marginal Cost Losses ($/MWHr),Marginal Cost Congestion ($/MWHr)
11/12/2016 00:00,CAPITL,61757,17.95,1.04,-2.12
11/12/2016 00:00,CENTRL,61754,15.18,0.18,-0.21
11/12/2016 00:00,DUNWOD,61760,17.99,1.67,-1.52
11/12/2016 00:00,GENESE,61753,14.92,-0.04,-0.17
11/12/2016 00:00,H Q,61844,14.31,-0.49,0.00
11/12/2016 00:00,HUD VL,61758,17.87,1.57,-1.51
11/12/2016 00:00,LONGIL,61762,27.38,2.06,-10.52
11/12/2016 00:00,MHK VL,61756,15.39,0.38,-0.21
11/12/2016 00:00,MILLWD,61759,17.97,1.64,-1.53
11/12/2016 00:00,N.Y.C.,61761,18.15,1.83,-1.52
11/12/2016 00:00,NORTH,61755,14.12,-0.68,0.00
11/12/2016 00:00,NPX,61845,18.07,1.49,-1.78
11/12/2016 00:00,O H,61846,13.94,-0.33,0.53
11/12/2016 00:00,PJM,61847,16.28,0.65,-0.83
11/12/2016 00:00,WEST,61752,15.00,-0.01,-0.21
11/12/2016 01:00,CAPITL,61757,17.71,1.02,-2.32
11/12/2016 01:00,CENTRL,61754,14.73,0.13,-0.23
11/12/2016 01:00,DUNWOD,61760,17.60,1.57,-1.66
11/12/2016 01:00,GENESE,61753,14.44,-0.12,-0.18
11/12/2016 01:00,H Q,61844,13.93,-0.45,0.00
11/12/2016 01:00,HUD VL,61758,17.50,1.48,-1.65
11/12/2016 01:00,LONGIL,61762,18.13,1.95,-1.80
11/12/2016 01:00,MHK VL,61756,14.98,0.37,-0.23
11/12/2016 01:00,MILLWD,61759,17.62,1.57,-1.68
11/12/2016 01:00,N.Y.C.,61761,17.75,1.71,-1.66
11/12/2016 01:00,NORTH,61755,13.81,-0.56,0.00
11/12/2016 01:00,NPX,61845,17.76,1.44,-1.95
11/12/2016 01:00,O H,61846,13.69,-0.33,0.35
11/12/2016 01:00,PJM,61847,15.89,0.60,-0.91
11/12/2016 01:00,WEST,61752,14.58,-0.03,-0.23
11/12/2016 02:00,CAPITL,61757,16.59,0.89,-3.62
11/12/2016 02:00,CENTRL,61754,12.54,0.11,-0.36
11/12/2016 02:00,DUNWOD,61760,15.97,1.29,-2.60
11/12/2016 02:00,GENESE,61753,12.27,-0.10,-0.29
11/12/2016 02:00,H Q,61844,11.70,-0.37,0.00
11/12/2016 02:00,HUD VL,61758,15.90,1.24,-2.58
11/12/2016 02:00,LONGIL,61762,18.68,1.62,-4.99
11/12/2016 02:00,MHK VL,61756,12.75,0.31,-0.36
11/12/2016 02:00,MILLWD,61759,16.00,1.30,-2.62
11/12/2016 02:00,N.Y.C.,61761,16.09,1.41,-2.60
11/12/2016 02:00,NORTH,61755,11.59,-0.48,0.00
11/12/2016 02:00,NPX,61845,16.31,1.18,-3.05
11/12/2016 02:00,O H,61846,11.60,-0.30,0.17
11/12/2016 02:00,PJM,61847,14.00,0.50,-1.42
11/12/2016 02:00,WEST,61752,12.37,-0.07,-0.37
11/12/2016 03:00,CAPITL,61757,17.39,0.88,-4.56
11/12/2016 03:00,CENTRL,61754,12.52,0.12,-0.45
11/12/2016 03:00,DUNWOD,61760,16.51,1.29,-3.28
11/12/2016 03:00,GENESE,61753,12.24,-0.07,-0.36
11/12/2016 03:00,H Q,61844,11.56,-0.38,0.00
11/12/2016 03:00,HUD VL,61758,16.43,1.23,-3.25
11/12/2016 03:00,LONGIL,61762,16.63,1.41,-3.28
11/12/2016 03:00,MHK VL,61756,12.71,0.31,-0.46
11/12/2016 03:00,MILLWD,61759,16.54,1.29,-3.31
11/12/2016 03:00,N.Y.C.,61761,16.61,1.39,-3.28
11/12/2016 03:00,NORTH,61755,11.42,-0.53,0.00
11/12/2016 03:00,NPX,61845,16.95,1.16,-3.84
11/12/2016 03:00,O H,61846,11.65,-0.29,0.01
11/12/2016 03:00,PJM,61847,14.24,0.50,-1.80
11/12/2016 03:00,WEST,61752,12.34,-0.07,-0.46
11/12/2016 04:00,CAPITL,61757,17.14,0.95,-2.83
11/12/2016 04:00,CENTRL,61754,13.77,0.13,-0.28
11/12/2016 04:00,DUNWOD,61760,16.89,1.50,-2.03
11/12/2016 04:00,GENESE,61753,13.47,-0.11,-0.23
11/12/2016 04:00,H Q,61844,12.93,-0.43,0.00
11/12/2016 04:00,HUD VL,61758,16.78,1.40,-2.02
11/12/2016 04:00,LONGIL,61762,17.34,1.95,-2.03
11/12/2016 04:00,MHK VL,61756,14.00,0.36,-0.28
11/12/2016 04:00,MILLWD,61759,16.89,1.48,-2.05
11/12/2016 04:00,N.Y.C.,61761,16.99,1.60,-2.04
11/12/2016 04:00,NORTH,61755,12.76,-0.60,0.00
11/12/2016 04:00,NPX,61845,17.05,1.31,-2.39
11/12/2016 04:00,O H,61846,11.64,-0.37,1.34
11/12/2016 04:00,PJM,61847,15.03,0.56,-1.12
11/12/2016 04:00,WEST,61752,13.51,-0.13,-0.29
11/12/2016 05:00,CAPITL,61757,17.89,1.03,-2.51
11/12/2016 05:00,CENTRL,61754,14.77,0.17,-0.25
11/12/2016 05:00,DUNWOD,61760,17.73,1.58,-1.80
11/12/2016 05:00,GENESE,61753,14.52,-0.03,-0.20
11/12/2016 05:00,H Q,61844,13.88,-0.47,0.00
11/12/2016 05:00,HUD VL,61758,17.63,1.49,-1.79
11/12/2016 05:00,LONGIL,61762,18.22,2.07,-1.80
11/12/2016 05:00,MHK VL,61756,14.99,0.39,-0.25
11/12/2016 05:00,MILLWD,61759,17.72,1.55,-1.82
11/12/2016 05:00,N.Y.C.,61761,17.83,1.68,-1.80
11/12/2016 05:00,NORTH,61755,13.66,-0.69,0.00
11/12/2016 05:00,NPX,61845,17.90,1.43,-2.12
11/12/2016 05:00,O H,61846,12.07,-0.33,1.95
11/12/2016 05:00,PJM,61847,15.95,0.62,-0.99
11/12/2016 05:00,WEST,61752,14.56,-0.04,-0.25
11/12/2016 06:00,CAPITL,61757,19.90,1.07,-3.58
11/12/2016 06:00,CENTRL,61754,15.77,0.17,-0.35
11/12/2016 06:00,DUNWOD,61760,19.59,1.77,-2.57
11/12/2016 06:00,GENESE,61753,15.46,-0.08,-0.28
11/12/2016 06:00,H Q,61844,14.75,-0.50,0.00
11/12/2016 06:00,HUD VL,61758,19.47,1.66,-2.55
11/12/2016 06:00,LONGIL,61762,22.48,2.26,-4.97
11/12/2016 06:00,MHK VL,61756,16.04,0.43,-0.36
11/12/2016 06:00,MILLWD,61759,19.57,1.72,-2.59
11/12/2016 06:00,N.Y.C.,61761,19.68,1.86,-2.57
11/12/2016 06:00,NORTH,61755,14.57,-0.69,0.00
11/12/2016 06:00,NPX,61845,19.82,1.56,-3.01
11/12/2016 06:00,O H,61846,13.95,-0.41,0.89
11/12/2016 06:00,PJM,61847,17.35,0.69,-1.41
11/12/2016 06:00,WEST,61752,15.54,-0.08,-0.36
11/12/2016 07:00,CAPITL,61757,21.06,1.06,-4.70
11/12/2016 07:00,CENTRL,61754,15.98,0.21,-0.46
11/12/2016 07:00,DUNWOD,61760,20.55,1.87,-3.37
11/12/2016 07:00,GENESE,61753,15.43,-0.25,-0.37
11/12/2016 07:00,H Q,61844,14.80,-0.50,0.00
11/12/2016 07:00,HUD VL,61758,20.43,1.77,-3.35
11/12/2016 07:00,LONGIL,61762,23.31,2.46,-5.54
11/12/2016 07:00,MHK VL,61756,16.20,0.43,-0.47
11/12/2016 07:00,MILLWD,61759,20.53,1.82,-3.41
11/12/2016 07:00,N.Y.C.,61761,20.62,1.94,-3.37
11/12/2016 07:00,NORTH,61755,14.59,-0.72,0.00
11/12/2016 07:00,NPX,61845,20.87,1.61,-3.96
11/12/2016 07:00,O H,61846,15.40,-0.41,-0.51
11/12/2016 07:00,PJM,61847,17.91,0.75,-1.85
11/12/2016 07:00,WEST,61752,15.80,0.02,-0.48
11/12/2016 08:00,CAPITL,61757,23.72,1.36,-4.22
11/12/2016 08:00,CENTRL,61754,18.80,0.24,-0.42
11/12/2016 08:00,DUNWOD,61760,23.53,2.36,-3.03
11/12/2016 08:00,GENESE,61753,18.17,-0.31,-0.34
11/12/2016 08:00,H Q,61844,17.47,-0.67,0.00
11/12/2016 08:00,HUD VL,61758,23.40,2.25,-3.01
11/12/2016 08:00,LONGIL,61762,24.13,2.96,-3.03
11/12/2016 08:00,MHK VL,61756,19.06,0.49,-0.42
11/12/2016 08:00,MILLWD,61759,23.58,2.38,-3.06
11/12/2016 08:00,N.Y.C.,61761,23.64,2.47,-3.03
11/12/2016 08:00,NORTH,61755,17.06,-1.09,0.00
11/12/2016 08:00,NPX,61845,23.66,1.96,-3.55
11/12/2016 08:00,O H,61846,17.74,-0.56,-0.15
11/12/2016 08:00,PJM,61847,20.73,0.92,-1.66
11/12/2016 08:00,WEST,61752,18.50,-0.07,-0.43
11/12/2016 09:00,CAPITL,61757,25.64,1.39,-5.20
11/12/2016 09:00,CENTRL,61754,19.83,0.27,-0.51
11/12/2016 09:00,DUNWOD,61760,25.32,2.53,-3.73
11/12/2016 09:00,GENESE,61753,19.14,-0.32,-0.41
11/12/2016 09:00,H Q,61844,18.33,-0.72,0.00
11/12/2016 09:00,HUD VL,61758,25.14,2.38,-3.71
11/12/2016 09:00,LONGIL,61762,25.92,3.12,-3.74
11/12/2016 09:00,MHK VL,61756,20.10,0.53,-0.52
11/12/2016 09:00,MILLWD,61759,25.37,2.55,-3.77
11/12/2016 09:00,N.Y.C.,61761,25.47,2.69,-3.73
11/12/2016 09:00,NORTH,61755,17.87,-1.18,0.00
11/12/2016 09:00,NPX,61845,25.53,2.10,-4.38
11/12/2016 09:00,O H,61846,18.27,-0.63,0.15
11/12/2016 09:00,PJM,61847,22.07,0.97,-2.05
11/12/2016 09:00,WEST,61752,19.48,-0.09,-0.53
11/12/2016 10:00,CAPITL,61757,24.53,1.31,-5.25
11/12/2016 10:00,CENTRL,61754,18.79,0.31,-0.52
11/12/2016 10:00,DUNWOD,61760,24.16,2.42,-3.77
11/12/2016 10:00,GENESE,61753,18.12,-0.27,-0.42
11/12/2016 10:00,H Q,61844,17.27,-0.70,0.00
11/12/2016 10:00,HUD VL,61758,23.92,2.21,-3.74
