"Time Stamp","Time Zone","Name","PTID","Load"
"09/27/2021 00:35:00","EDT","NORTH",61755,539.9552
"09/27/2021 00:35:00","EDT","WEST",61752,1276.4124
"09/27/2021 00:40:00","EDT","CAPITL",61757,1000.3738
"09/27/2021 00:40:00","EDT","CENTRL",61754,1388.5444
"09/27/2021 00:40:00","EDT","DUNWOD",61760,515.9595
"09/27/2021 00:40:00","EDT","GENESE",61753,858.2253
"09/27/2021 00:40:00","EDT","HUD VL",61758,791.0561
"09/27/2021 00:40:00","EDT","LONGIL",61762,1728.75
"09/27/2021 00:40:00","EDT","MHK VL",61756,640.3094
"09/27/2021 00:40:00","EDT","MILLWD",61759,225.8943
"09/27/2021 00:40:00","EDT","N.Y.C.",61761,4512.371
"09/27/2021 00:40:00","EDT","NORTH",61755,536.1725
"09/27/2021 00:40:00","EDT","WEST",61752,1254.9387
"09/27/2021 00:45:00","EDT","CAPITL",61757,1005.6384
"09/27/2021 00:45:00","EDT","CENTRL",61754,1396.8037
"09/27/2021 00:45:00","EDT","DUNWOD",61760,516.215
"09/27/2021 00:45:00","EDT","GENESE",61753,855.496
"09/27/2021 00:45:00","EDT","HUD VL",61758,737.6457
"09/27/2021 00:45:00","EDT","LONGIL",61762,1720.1447
"09/27/2021 00:45:00","EDT","MHK VL",61756,638.7485
"09/27/2021 00:45:00","EDT","MILLWD",61759,232.829
"09/27/2021 00:45:00","EDT","N.Y.C.",61761,4472.404
"09/27/2021 00:45:00","EDT","NORTH",61755,538.3149
"09/27/2021 00:45:00","EDT","WEST",61752,1261.6514
"09/27/2021 00:50:00","EDT","CAPITL",61757,1001.15
"09/27/2021 00:50:00","EDT","CENTRL",61754,1385.8246
"09/27/2021 00:50:00","EDT","DUNWOD",61760,515.1376
"09/27/2021 00:50:00","EDT","GENESE",61753,851.1071
"09/27/2021 00:50:00","EDT","HUD VL",61758,766.2002
"09/27/2021 00:50:00","EDT","LONGIL",61762,1718.7615
"09/27/2021 00:50:00","EDT","MHK VL",61756,641.1892
"09/27/2021 00:50:00","EDT","MILLWD",61759,228.7362
"09/27/2021 00:50:00","EDT","N.Y.C.",61761,4456.467
"09/27/2021 00:50:00","EDT","NORTH",61755,540.4193
"09/27/2021 00:50:00","EDT","WEST",61752,1277.4482
"09/27/2021 00:55:00","EDT","CAPITL",61757,995.9087
"09/27/2021 00:55:00","EDT","CENTRL",61754,1390.1494
"09/27/2021 00:55:00","EDT","DUNWOD",61760,506.2084
"09/27/2021 00:55:00","EDT","GENESE",61753,851.1576
"09/27/2021 00:55:00","EDT","HUD VL",61758,752.7613
"09/27/2021 00:55:00","EDT","LONGIL",61762,1722.168
"09/27/2021 00:55:00","EDT","MHK VL",61756,633.9091
"09/27/2021 00:55:00","EDT","MILLWD",61759,230.3959
"09/27/2021 00:55:00","EDT","N.Y.C.",61761,4466.379
"09/27/2021 00:55:00","EDT","NORTH",61755,537.9917
"09/27/2021 00:55:00","EDT","WEST",61752,1254.7994
"09/27/2021 01:00:00","EDT","CAPITL",61757,990.634
"09/27/2021 01:00:00","EDT","CENTRL",61754,1340.4255
"09/27/2021 01:00:00","EDT","DUNWOD",61760,510.523
"09/27/2021 01:00:00","EDT","GENESE",61753,849.4835
"09/27/2021 01:00:00","EDT","HUD VL",61758,760.31
"09/27/2021 01:00:00","EDT","LONGIL",61762,1695.8289
"09/27/2021 01:00:00","EDT","MHK VL",61756,631.3937
"09/27/2021 01:00:00","EDT","MILLWD",61759,219.2519
"09/27/2021 01:00:00","EDT","N.Y.C.",61761,4424.4043
"09/27/2021 01:00:00","EDT","NORTH",61755,539.8658
"09/27/2021 01:00:00","EDT","WEST",61752,1263.1315
"09/27/2021 01:05:00","EDT","CAPITL",61757,994.722
"09/27/2021 01:05:00","EDT","CENTRL",61754,1373.5809
"09/27/2021 01:05:00","EDT","DUNWOD",61760,508.0844
"09/27/2021 01:05:00","EDT","GENESE",61753,848.8411
"09/27/2021 01:05:00","EDT","HUD VL",61758,760.6232
"09/27/2021 01:05:00","EDT","LONGIL",61762,1709.2561
"09/27/2021 01:05:00","EDT","MHK VL",61756,624.2341
"09/27/2021 01:05:00","EDT","MILLWD",61759,211.0677
"09/27/2021 01:05:00","EDT","N.Y.C.",61761,4418.881
"09/27/2021 01:05:00","EDT","NORTH",61755,529.945
