"Time Stamp","Time Zone","Name","PTID","Load"
"12/14/2021 00:00:00","EST","CAPITL",61757,1217.3452
"12/14/2021 00:00:00","EST","CENTRL",61754,1664.2064
"12/14/2021 00:00:00","EST","DUNWOD",61760,608.3648
"12/14/2021 00:00:00","EST","GENESE",61753,995.0908
"12/14/2021 00:00:00","EST","HUD VL",61758,947.7377
"12/14/2021 00:00:00","EST","LONGIL",61762,1920.133
"12/14/2021 00:00:00","EST","MHK VL",61756,835.262
"12/14/2021 00:00:00","EST","MILLWD",61759,272.1054
"12/14/2021 00:00:00","EST","N.Y.C.",61761,4607.163
"12/14/2021 00:00:00","EST","NORTH",61755,650.3491
"12/14/2021 00:00:00","EST","WEST",61752,1560.4971
"12/14/2021 00:05:00","EST","CAPITL",61757,1209.4861
"12/14/2021 00:05:00","EST","CENTRL",61754,1703.8524
"12/14/2021 00:05:00","EST","DUNWOD",61760,603.4339
"12/14/2021 00:05:00","EST","GENESE",61753,991.0299
"12/14/2021 00:05:00","EST","HUD VL",61758,941.4354
"12/14/2021 00:05:00","EST","LONGIL",61762,1900.7388
"12/14/2021 00:05:00","EST","MHK VL",61756,806.7631
"12/14/2021 00:05:00","EST","MILLWD",61759,271.114
"12/14/2021 00:05:00","EST","N.Y.C.",61761,4591.3677
"12/14/2021 00:05:00","EST","NORTH",61755,637.9125
"12/14/2021 00:05:00","EST","WEST",61752,1544.331
"12/14/2021 00:10:00","EST","CAPITL",61757,1216.6724
"12/14/2021 00:10:00","EST","CENTRL",61754,1697.0232
"12/14/2021 00:10:00","EST","DUNWOD",61760,590.8914
"12/14/2021 00:10:00","EST","GENESE",61753,972.9636
"12/14/2021 00:10:00","EST","HUD VL",61758,941.7487
"12/14/2021 00:10:00","EST","LONGIL",61762,1894.4556
"12/14/2021 00:10:00","EST","MHK VL",61756,804.9384
"12/14/2021 00:10:00","EST","MILLWD",61759,255.8528
"12/14/2021 00:10:00","EST","N.Y.C.",61761,4561.965
"12/14/2021 00:10:00","EST","NORTH",61755,636.8615
"12/14/2021 00:10:00","EST","WEST",61752,1544.991
"12/14/2021 00:15:00","EST","CAPITL",61757,1191.6702
"12/14/2021 00:15:00","EST","CENTRL",61754,1698.5767
"12/14/2021 00:15:00","EST","DUNWOD",61760,588.7601
"12/14/2021 00:15:00","EST","GENESE",61753,981.8511
"12/14/2021 00:15:00","EST","HUD VL",61758,929.1217
"12/14/2021 00:15:00","EST","LONGIL",61762,1878.7355
"12/14/2021 00:15:00","EST","MHK VL",61756,811.5159
"12/14/2021 00:15:00","EST","MILLWD",61759,266.7012
"12/14/2021 00:15:00","EST","N.Y.C.",61761,4537.4644
"12/14/2021 00:15:00","EST","NORTH",61755,634.0859
"12/14/2021 00:15:00","EST","WEST",61752,1531.1655
"12/14/2021 00:20:00","EST","CAPITL",61757,1190.8799
"12/14/2021 00:20:00","EST","CENTRL",61754,1686.8457
"12/14/2021 00:20:00","EST","DUNWOD",61760,594.6263
"12/14/2021 00:20:00","EST","GENESE",61753,979.2715
"12/14/2021 00:20:00","EST","HUD VL",61758,948.2305
"12/14/2021 00:20:00","EST","LONGIL",61762,1854.0383
"12/14/2021 00:20:00","EST","MHK VL",61756,814.953
"12/14/2021 00:20:00","EST","MILLWD",61759,254.2531
"12/14/2021 00:20:00","EST","N.Y.C.",61761,4526.1724
"12/14/2021 00:20:00","EST","NORTH",61755,645.3286
"12/14/2021 00:20:00","EST","WEST",61752,1516.9801
"12/14/2021 00:25:00","EST","CAPITL",61757,1193.6228
"12/14/2021 00:25:00","EST","CENTRL",61754,1675.9327
"12/14/2021 00:25:00","EST","DUNWOD",61760,535.8395
"12/14/2021 00:25:00","EST","GENESE",61753,976.835
"12/14/2021 00:25:00","EST","HUD VL",61758,910.6981
"12/14/2021 00:25:00","EST","LONGIL",61762,1846.4624
"12/14/2021 00:25:00","EST","MHK VL",61756,804.9869
"12/14/2021 00:25:00","EST","MILLWD",61759,255.9475
"12/14/2021 00:25:00","EST","N.Y.C.",61761,4578.679
"12/14/2021 00:25:00","EST","NORTH",61755,637.7002
"12/14/2021 00:25:00","EST","WEST",61752,1512.7024
"12/14/2021 00:30:00","EST","CAPITL",61757,1178.9204
"12/14/2021 00:30:00","EST","CENTRL",61754,1629.9072
"12/14/2021 00:30:00","EST","DUNWOD",61760,470.2228
"12/14/2021 00:30:00","EST","GENESE",61753,970.2595
"12/14/2021 00:30:00","EST","HUD VL",61758,924.5932
"12/14/2021 00:30:00","EST","LONGIL",61762,1848.5242
"12/14/2021 00:30:00","EST","MHK VL",61756,810.9197
"12/14/2021 00:30:00","EST","MILLWD",61759,255.2947
"12/14/2021 00:30:00","EST","N.Y.C.",61761,4603.4863
"12/14/2021 00:30:00","EST","NORTH",61755,646.6636
"12/14/2021 00:30:00","EST","WEST",61752,1538.1816
"12/14/2021 00:35:00","EST","CAPITL",61757,1184.395
"12/14/2021 00:35:00","EST","CENTRL",61754,1663.5421
"12/14/2021 00:35:00","EST","DUNWOD",61760,464.4218
"12/14/2021 00:35:00","EST","GENESE",61753,965.6636
"12/14/2021 00:35:00","EST","HUD VL",61758,922.1489
"12/14/2021 00:35:00","EST","LONGIL",61762,1827.041
"12/14/2021 00:35:00","EST","MHK VL",61756,800.4564
"12/14/2021 00:35:00","EST","MILLWD",61759,248.0965
"12/14/2021 00:35:00","EST","N.Y.C.",61761,4603.908
"12/14/2021 00:35:00","EST","NORTH",61755,643.4527
"12/14/2021 00:35:00","EST","WEST",61752,1513.3618
"12/14/2021 00:40:00","EST","CAPITL",61757,1176.231
"12/14/2021 00:40:00","EST","CENTRL",61754,1648.913
"12/14/2021 00:40:00","EST","DUNWOD",61760,444.0597
"12/14/2021 00:40:00","EST","GENESE",61753,966.6429
"12/14/2021 00:40:00","EST","HUD VL",61758,933.7662
"12/14/2021 00:40:00","EST","LONGIL",61762,1823.4612
"12/14/2021 00:40:00","EST","MHK VL",61756,806.1203
"12/14/2021 00:40:00","EST","MILLWD",61759,243.0217
"12/14/2021 00:40:00","EST","N.Y.C.",61761,4585.2354
"12/14/2021 00:40:00","EST","NORTH",61755,642.9345
"12/14/2021 00:40:00","EST","WEST",61752,1515.7063
"12/14/2021 00:45:00","EST","CAPITL",61757,1176.5334
"12/14/2021 00:45:00","EST","CENTRL",61754,1628.2832
"12/14/2021 00:45:00","EST","DUNWOD",61760,436.2692
"12/14/2021 00:45:00","EST","GENESE",61753,963.9928
"12/14/2021 00:45:00","EST","HUD VL",61758,897.6065
"12/14/2021 00:45:00","EST","LONGIL",61762,1823.523
"12/14/2021 00:45:00","EST","MHK VL",61756,809.3661
"12/14/2021 00:45:00","EST","MILLWD",61759,253.0593
"12/14/2021 00:45:00","EST","N.Y.C.",61761,4574.0215
"12/14/2021 00:45:00","EST","NORTH",61755,638.5972
"12/14/2021 00:45:00","EST","WEST",61752,1511.4047
"12/14/2021 00:50:00","EST","CAPITL",61757,1177.2227
"12/14/2021 00:50:00","EST","CENTRL",61754,1619.9246
"12/14/2021 00:50:00","EST","DUNWOD",61760,430.4545
"12/14/2021 00:50:00","EST","GENESE",61753,962.1719
"12/14/2021 00:50:00","EST","HUD VL",61758,925.2922
"12/14/2021 00:50:00","EST","LONGIL",61762,1811.3738
"12/14/2021 00:50:00","EST","MHK VL",61756,791.3812
"12/14/2021 00:50:00","EST","MILLWD",61759,249.2682
"12/14/2021 00:50:00","EST","N.Y.C.",61761,4535.672
"12/14/2021 00:50:00","EST","NORTH",61755,643.442
"12/14/2021 00:50:00","EST","WEST",61752,1505.8695
"12/14/2021 00:55:00","EST","CAPITL",61757,1169.4597
"12/14/2021 00:55:00","EST","CENTRL",61754,1620.2935
