"Time Stamp","Name","PTID","LBMP ($/MWHr)","Marginal Cost Losses ($/MWHr)","Marginal Cost Congestion ($/MWHr)"
"04/05/2018 00:05:00","CAPITL",61757,25.43,1.37,0.00
"04/05/2018 00:05:00","CENTRL",61754,24.45,0.38,0.00
"04/05/2018 00:05:00","DUNWOD",61760,26.52,2.46,0.00
"04/05/2018 00:05:00","GENESE",61753,23.77,-0.29,0.00
"04/05/2018 00:05:00","H Q",61844,23.27,-0.79,0.00
"04/05/2018 00:05:00","HUD VL",61758,26.35,2.29,0.00
"04/05/2018 00:05:00","LONGIL",61762,27.29,3.23,0.00
"04/05/2018 00:05:00","MHK VL",61756,24.66,0.60,0.00
"04/05/2018 00:05:00","MILLWD",61759,26.52,2.46,0.00
"04/05/2018 00:05:00","N.Y.C.",61761,27.12,3.06,0.00
"04/05/2018 00:05:00","NORTH",61755,22.79,-1.28,0.00
"04/05/2018 00:05:00","NPX",61845,49.52,1.52,-23.94
"04/05/2018 00:05:00","O H",61846,23.27,-0.79,0.00
"04/05/2018 00:05:00","PJM",61847,25.03,0.96,0.00
"04/05/2018 00:05:00","WEST",61752,23.75,-0.31,0.00
"04/05/2018 00:10:00","CAPITL",61757,25.43,1.39,0.00
"04/05/2018 00:10:00","CENTRL",61754,24.45,0.41,0.00
"04/05/2018 00:10:00","DUNWOD",61760,26.49,2.45,0.00
"04/05/2018 00:10:00","GENESE",61753,23.82,-0.22,0.00
"04/05/2018 00:10:00","H Q",61844,23.22,-0.82,0.00
"04/05/2018 00:10:00","HUD VL",61758,26.32,2.28,0.00
"04/05/2018 00:10:00","LONGIL",61762,27.26,3.22,0.00
"04/05/2018 00:10:00","MHK VL",61756,24.64,0.60,0.00
"04/05/2018 00:10:00","MILLWD",61759,26.49,2.45,0.00
"04/05/2018 00:10:00","N.Y.C.",61761,27.14,3.10,0.00
"04/05/2018 00:10:00","NORTH",61755,22.69,-1.35,0.00
"04/05/2018 00:10:00","NPX",61845,49.51,1.54,-23.94
"04/05/2018 00:10:00","O H",61846,23.34,-0.70,0.00
"04/05/2018 00:10:00","PJM",61847,25.02,0.99,0.00
"04/05/2018 00:10:00","WEST",61752,23.82,-0.22,0.00
"04/05/2018 00:15:00","CAPITL",61757,25.24,1.41,0.00
"04/05/2018 00:15:00","CENTRL",61754,24.29,0.45,0.00
"04/05/2018 00:15:00","DUNWOD",61760,26.27,2.43,0.00
"04/05/2018 00:15:00","GENESE",61753,23.67,-0.17,0.00
"04/05/2018 00:15:00","H Q",61844,23.00,-0.83,0.00
"04/05/2018 00:15:00","HUD VL",61758,26.10,2.27,0.00
"04/05/2018 00:15:00","LONGIL",61762,27.03,3.19,0.00
"04/05/2018 00:15:00","MHK VL",61756,24.41,0.57,0.00
"04/05/2018 00:15:00","MILLWD",61759,26.27,2.43,0.00
"04/05/2018 00:15:00","N.Y.C.",61761,26.91,3.08,0.00
"04/05/2018 00:15:00","NORTH",61755,22.45,-1.38,0.00
"04/05/2018 00:15:00","NPX",61845,49.30,1.53,-23.94
"04/05/2018 00:15:00","O H",61846,23.21,-0.62,0.00
"04/05/2018 00:15:00","PJM",61847,24.88,1.05,0.00
"04/05/2018 00:15:00","WEST",61752,23.69,-0.14,0.00
"04/05/2018 00:20:00","CAPITL",61757,24.94,1.39,0.00
"04/05/2018 00:20:00","CENTRL",61754,23.97,0.42,0.00
"04/05/2018 00:20:00","DUNWOD",61760,25.95,2.40,0.00
"04/05/2018 00:20:00","GENESE",61753,23.36,-0.19,0.00
"04/05/2018 00:20:00","H Q",61844,22.72,-0.82,0.00
"04/05/2018 00:20:00","HUD VL",61758,25.81,2.26,0.00
"04/05/2018 00:20:00","LONGIL",61762,26.75,3.20,0.00
"04/05/2018 00:20:00","MHK VL",61756,24.11,0.56,0.00
"04/05/2018 00:20:00","MILLWD",61759,25.95,2.40,0.00
"04/05/2018 00:20:00","N.Y.C.",61761,26.56,3.01,0.00
"04/05/2018 00:20:00","NORTH",61755,22.18,-1.37,0.00
"04/05/2018 00:20:00","NPX",61845,48.45,1.53,-23.38
"04/05/2018 00:20:00","O H",61846,22.91,-0.63,0.00
"04/05/2018 00:20:00","PJM",61847,24.56,1.01,0.00
"04/05/2018 00:20:00","WEST",61752,23.38,-0.16,0.00
"04/05/2018 00:25:00","CAPITL",61757,22.37,1.27,0.00
"04/05/2018 00:25:00","CENTRL",61754,21.46,0.36,0.00
"04/05/2018 00:25:00","DUNWOD",61760,23.27,2.17,0.00
"04/05/2018 00:25:00","GENESE",61753,20.91,-0.19,0.00
"04/05/2018 00:25:00","H Q",61844,20.36,-0.74,0.00
"04/05/2018 00:25:00","HUD VL",61758,23.15,2.05,0.00
"04/05/2018 00:25:00","LONGIL",61762,24.01,2.91,0.00
"04/05/2018 00:25:00","MHK VL",61756,21.59,0.49,0.00
"04/05/2018 00:25:00","MILLWD",61759,23.27,2.17,0.00
"04/05/2018 00:25:00","N.Y.C.",61761,23.84,2.74,0.00
"04/05/2018 00:25:00","NORTH",61755,19.84,-1.27,0.00
"04/05/2018 00:25:00","NPX",61845,45.85,1.37,-23.38
"04/05/2018 00:25:00","O H",61846,20.51,-0.59,0.00
"04/05/2018 00:25:00","PJM",61847,22.01,0.91,0.00
"04/05/2018 00:25:00","WEST",61752,20.93,-0.17,0.00
"04/05/2018 00:30:00","CAPITL",61757,22.78,1.29,0.00
"04/05/2018 00:30:00","CENTRL",61754,21.90,0.41,0.00
"04/05/2018 00:30:00","DUNWOD",61760,23.68,2.19,0.00
"04/05/2018 00:30:00","GENESE",61753,21.34,-0.15,0.00
"04/05/2018 00:30:00","H Q",61844,20.72,-0.77,0.00
"04/05/2018 00:30:00","HUD VL",61758,23.53,2.04,0.00
"04/05/2018 00:30:00","LONGIL",61762,24.44,2.94,0.00
"04/05/2018 00:30:00","MHK VL",61756,22.01,0.51,0.00
"04/05/2018 00:30:00","MILLWD",61759,23.68,2.19,0.00
"04/05/2018 00:30:00","N.Y.C.",61761,24.24,2.75,0.00
"04/05/2018 00:30:00","NORTH",61755,20.22,-1.27,0.00
"04/05/2018 00:30:00","NPX",61845,46.27,1.40,-23.38
"04/05/2018 00:30:00","O H",61846,20.95,-0.54,0.00
"04/05/2018 00:30:00","PJM",61847,22.46,0.97,0.00
"04/05/2018 00:30:00","WEST",61752,21.41,-0.09,0.00
"04/05/2018 00:35:00","CAPITL",61757,22.39,1.27,0.00
"04/05/2018 00:35:00","CENTRL",61754,21.54,0.42,0.00
"04/05/2018 00:35:00","DUNWOD",61760,23.28,2.16,0.00
"04/05/2018 00:35:00","GENESE",61753,20.98,-0.15,0.00
"04/05/2018 00:35:00","H Q",61844,20.38,-0.74,0.00
"04/05/2018 00:35:00","HUD VL",61758,23.13,2.01,0.00
"04/05/2018 00:35:00","LONGIL",61762,24.02,2.89,0.00
"04/05/2018 00:35:00","MHK VL",61756,21.63,0.51,0.00
"04/05/2018 00:35:00","MILLWD",61759,23.28,2.16,0.00
"04/05/2018 00:35:00","N.Y.C.",61761,23.83,2.70,0.00
"04/05/2018 00:35:00","NORTH",61755,19.88,-1.25,0.00
"04/05/2018 00:35:00","NPX",61845,47.10,1.37,-24.61
"04/05/2018 00:35:00","O H",61846,20.61,-0.51,0.00
"04/05/2018 00:35:00","PJM",61847,22.09,0.97,0.00
"04/05/2018 00:35:00","WEST",61752,21.06,-0.06,0.00
