"Time Stamp","Name","PTID","LBMP ($/MWHr)","Marginal Cost Losses ($/MWHr)","Marginal Cost Congestion ($/MWHr)"
"05/24/2019 00:05:00","CAPITL",61757,23.68,1.44,0.00
"05/24/2019 00:05:00","CENTRL",61754,22.52,0.29,0.00
"05/24/2019 00:05:00","DUNWOD",61760,24.72,2.49,0.00
"05/24/2019 00:05:00","GENESE",61753,21.57,-0.67,0.00
"05/24/2019 00:05:00","H Q",61844,26.09,-0.78,-4.63
"05/24/2019 00:05:00","HUD VL",61758,24.46,2.22,0.00
"05/24/2019 00:05:00","LONGIL",61762,25.30,3.07,0.00
"05/24/2019 00:05:00","MHK VL",61756,22.48,0.25,0.00
"05/24/2019 00:05:00","MILLWD",61759,24.68,2.45,0.00
"05/24/2019 00:05:00","N.Y.C.",61761,-117.29,2.71,142.24
"05/24/2019 00:05:00","NORTH",61755,20.81,-1.42,0.00
"05/24/2019 00:05:00","NPX",61845,28.60,1.74,-4.63
"05/24/2019 00:05:00","O H",61846,21.39,-0.84,0.00
"05/24/2019 00:05:00","PJM",61847,27.94,1.07,-4.63
"05/24/2019 00:05:00","WEST",61752,21.79,-0.44,0.00
"05/24/2019 00:10:00","CAPITL",61757,22.99,1.38,0.00
"05/24/2019 00:10:00","CENTRL",61754,21.84,0.24,0.00
"05/24/2019 00:10:00","DUNWOD",61760,24.04,2.44,0.00
"05/24/2019 00:10:00","GENESE",61753,20.80,-0.80,0.00
"05/24/2019 00:10:00","H Q",61844,25.50,-0.73,-4.63
"05/24/2019 00:10:00","HUD VL",61758,23.78,2.18,0.00
"05/24/2019 00:10:00","LONGIL",61762,24.65,3.05,0.00
"05/24/2019 00:10:00","MHK VL",61756,21.82,0.22,0.00
"05/24/2019 00:10:00","MILLWD",61759,24.00,2.40,0.00
"05/24/2019 00:10:00","N.Y.C.",61761,11.55,2.68,12.73
"05/24/2019 00:10:00","NORTH",61755,20.26,-1.34,0.00
"05/24/2019 00:10:00","NPX",61845,27.92,1.69,-4.63
"05/24/2019 00:10:00","O H",61846,20.57,-1.04,0.00
"05/24/2019 00:10:00","PJM",61847,27.21,0.97,-4.63
"05/24/2019 00:10:00","WEST",61752,20.93,-0.67,0.00
"05/24/2019 00:15:00","CAPITL",61757,20.75,1.28,0.00
"05/24/2019 00:15:00","CENTRL",61754,19.68,0.21,0.00
"05/24/2019 00:15:00","DUNWOD",61760,21.64,2.18,0.00
"05/24/2019 00:15:00","GENESE",61753,18.64,-0.82,0.01
"05/24/2019 00:15:00","H Q",61844,23.44,-0.66,-4.63
"05/24/2019 00:15:00","HUD VL",61758,21.41,1.95,0.00
"05/24/2019 00:15:00","LONGIL",61762,22.19,2.72,0.00
"05/24/2019 00:15:00","MHK VL",61756,19.66,0.19,0.00
"05/24/2019 00:15:00","MILLWD",61759,21.60,2.14,0.00
"05/24/2019 00:15:00","N.Y.C.",61761,21.86,2.39,0.00
"05/24/2019 00:15:00","NORTH",61755,18.26,-1.21,0.00
"05/24/2019 00:15:00","NPX",61845,25.64,1.54,-4.63
"05/24/2019 00:15:00","O H",61846,18.45,-1.01,0.00
"05/24/2019 00:15:00","PJM",61847,25.00,0.90,-4.64
"05/24/2019 00:15:00","WEST",61752,18.81,-0.66,-0.01
"05/24/2019 00:20:00","CAPITL",61757,24.54,0.13,-22.54
"05/24/2019 00:20:00","CENTRL",61754,4.76,0.01,-2.87
"05/24/2019 00:20:00","DUNWOD",61760,18.67,0.21,-16.58
"05/24/2019 00:20:00","GENESE",61753,4.16,-0.09,-2.38
"05/24/2019 00:20:00","H Q",61844,1.81,-0.06,0.00
"05/24/2019 00:20:00","HUD VL",61758,18.19,0.19,-16.13
"05/24/2019 00:20:00","LONGIL",61762,18.76,0.26,-16.62
"05/24/2019 00:20:00","MHK VL",61756,4.65,0.02,-2.75
