"Time Stamp","Name","PTID","LBMP ($/MWHr)","Marginal Cost Losses ($/MWHr)","Marginal Cost Congestion ($/MWHr)"
"08/20/2019 00:00","CAPITL",61757,17.46,1.42,0.00
"08/20/2019 00:00","CENTRL",61754,16.48,0.36,-0.08
"08/20/2019 00:00","DUNWOD",61760,17.78,1.74,0.00
"08/20/2019 00:00","GENESE",61753,16.36,0.31,0.00
"08/20/2019 00:00","H Q",61844,15.44,-0.60,0.00
"08/20/2019 00:00","HUD VL",61758,17.58,1.54,0.00
"08/20/2019 00:00","LONGIL",61762,18.14,2.10,0.00
"08/20/2019 00:00","MHK VL",61756,16.64,0.56,-0.04
"08/20/2019 00:00","MILLWD",61759,17.71,1.66,0.00
"08/20/2019 00:00","N.Y.C.",61761,18.21,1.95,-0.21
"08/20/2019 00:00","NORTH",61755,15.28,-0.77,0.00
"08/20/2019 00:00","NPX",61845,17.26,1.35,0.13
"08/20/2019 00:00","O H",61846,16.15,0.11,0.00
"08/20/2019 00:00","PJM",61847,16.96,0.87,-0.04
"08/20/2019 00:00","WEST",61752,16.48,0.44,0.00
"08/20/2019 01:00","CAPITL",61757,15.71,1.25,0.00
"08/20/2019 01:00","CENTRL",61754,14.76,0.28,-0.01
"08/20/2019 01:00","DUNWOD",61760,15.94,1.47,0.00
"08/20/2019 01:00","GENESE",61753,14.68,0.22,0.00
"08/20/2019 01:00","H Q",61844,13.95,-0.51,0.00
"08/20/2019 01:00","HUD VL",61758,15.77,1.30,0.00
"08/20/2019 01:00","LONGIL",61762,16.30,1.83,0.00
"08/20/2019 01:00","MHK VL",61756,14.93,0.46,0.00
"08/20/2019 01:00","MILLWD",61759,15.87,1.40,0.00
"08/20/2019 01:00","N.Y.C.",61761,16.13,1.66,0.00
"08/20/2019 01:00","NORTH",61755,13.85,-0.61,0.00
"08/20/2019 01:00","NPX",61845,16.67,1.19,-1.02
"08/20/2019 01:00","O H",61846,14.52,0.05,0.00
"08/20/2019 01:00","PJM",61847,15.20,0.73,0.00
"08/20/2019 01:00","WEST",61752,14.80,0.33,0.00
"08/20/2019 02:00","CAPITL",61757,15.25,1.15,0.00
"08/20/2019 02:00","CENTRL",61754,14.34,0.24,0.00
"08/20/2019 02:00","DUNWOD",61760,15.41,1.31,0.00
"08/20/2019 02:00","GENESE",61753,14.24,0.14,0.00
"08/20/2019 02:00","H Q",61844,13.64,-0.46,0.00
"08/20/2019 02:00","HUD VL",61758,15.27,1.17,0.00
"08/20/2019 02:00","LONGIL",61762,15.81,1.71,0.00
"08/20/2019 02:00","MHK VL",61756,14.52,0.43,0.00
"08/20/2019 02:00","MILLWD",61759,15.35,1.25,0.00
"08/20/2019 02:00","N.Y.C.",61761,15.58,1.48,0.00
"08/20/2019 02:00","NORTH",61755,13.59,-0.51,0.00
"08/20/2019 02:00","NPX",61845,16.76,1.11,-1.54
"08/20/2019 02:00","O H",61846,14.08,-0.02,0.00
"08/20/2019 02:00","PJM",61847,14.70,0.60,0.00
"08/20/2019 02:00","WEST",61752,14.33,0.23,0.00
"08/20/2019 03:00","CAPITL",61757,14.51,1.08,0.00
"08/20/2019 03:00","CENTRL",61754,13.65,0.23,0.00
"08/20/2019 03:00","DUNWOD",61760,14.65,1.22,0.00
"08/20/2019 03:00","GENESE",61753,13.55,0.12,0.00
"08/20/2019 03:00","H Q",61844,13.00,-0.43,0.00
"08/20/2019 03:00","HUD VL",61758,14.52,1.09,0.00
"08/20/2019 03:00","LONGIL",61762,15.01,1.58,0.00
"08/20/2019 03:00","MHK VL",61756,13.83,0.40,0.00
"08/20/2019 03:00","MILLWD",61759,14.59,1.16,0.00
"08/20/2019 03:00","N.Y.C.",61761,14.81,1.38,0.00
"08/20/2019 03:00","NORTH",61755,12.96,-0.47,0.00
"08/20/2019 03:00","NPX",61845,16.48,1.03,-2.02
"08/20/2019 03:00","O H",61846,13.41,-0.02,0.00
"08/20/2019 03:00","PJM",61847,14.01,0.58,0.00
"08/20/2019 03:00","WEST",61752,13.65,0.22,0.00
"08/20/2019 04:00","CAPITL",61757,8.42,0.63,0.00
"08/20/2019 04:00","CENTRL",61754,7.92,0.13,0.00
"08/20/2019 04:00","DUNWOD",61760,8.51,0.72,0.00
"08/20/2019 04:00","GENESE",61753,7.84,0.06,0.00
"08/20/2019 04:00","H Q",61844,7.54,-0.25,0.00
"08/20/2019 04:00","HUD VL",61758,8.42,0.64,0.00
"08/20/2019 04:00","LONGIL",61762,8.74,0.95,0.00
"08/20/2019 04:00","MHK VL",61756,8.02,0.23,0.00
