"Time Stamp","Name","PTID","LBMP ($/MWHr)","Marginal Cost Losses ($/MWHr)","Marginal Cost Congestion ($/MWHr)"
"01/24/2019 00:00","CAPITL",61757,42.33,1.40,-21.51
"01/24/2019 00:00","CENTRL",61754,22.27,0.11,-2.74
"01/24/2019 00:00","DUNWOD",61760,36.99,1.78,-15.78
"01/24/2019 00:00","GENESE",61753,20.65,-0.74,-1.96
"01/24/2019 00:00","H Q",61844,18.86,-0.56,0.00
"01/24/2019 00:00","HUD VL",61758,36.84,1.70,-15.71
"01/24/2019 00:00","LONGIL",61762,37.82,2.61,-15.79
"01/24/2019 00:00","MHK VL",61756,22.88,0.57,-2.89
"01/24/2019 00:00","MILLWD",61759,37.15,1.73,-16.00
"01/24/2019 00:00","N.Y.C.",61761,37.16,1.96,-15.79
"01/24/2019 00:00","NORTH",61755,18.61,-0.81,0.00
"01/24/2019 00:00","NPX",61845,39.97,1.60,-18.94
"01/24/2019 00:00","O H",61846,20.58,-1.36,-2.51
"01/24/2019 00:00","PJM",61847,28.79,0.34,-9.03
"01/24/2019 00:00","WEST",61752,20.85,-1.08,-2.51
"01/24/2019 01:00","CAPITL",61757,31.20,1.71,-4.72
"01/24/2019 01:00","CENTRL",61754,25.47,0.10,-0.60
"01/24/2019 01:00","DUNWOD",61760,30.42,2.19,-3.47
"01/24/2019 01:00","GENESE",61753,24.16,-1.03,-0.43
"01/24/2019 01:00","H Q",61844,24.11,-0.65,0.00
"01/24/2019 01:00","HUD VL",61758,30.31,2.09,-3.45
"01/24/2019 01:00","LONGIL",61762,31.36,3.13,-3.47
"01/24/2019 01:00","MHK VL",61756,26.09,0.69,-0.64
"01/24/2019 01:00","MILLWD",61759,30.41,2.13,-3.52
"01/24/2019 01:00","N.Y.C.",61761,30.62,2.39,-3.47
"01/24/2019 01:00","NORTH",61755,23.78,-0.98,0.00
"01/24/2019 01:00","NPX",61845,31.39,1.97,-4.65
"01/24/2019 01:00","O H",61846,23.48,-1.83,-0.55
"01/24/2019 01:00","PJM",61847,27.08,0.34,-1.99
"01/24/2019 01:00","WEST",61752,23.84,-1.47,-0.55
"01/24/2019 02:00","CAPITL",61757,31.61,1.43,-9.87
"01/24/2019 02:00","CENTRL",61754,21.72,0.14,-1.27
"01/24/2019 02:00","DUNWOD",61760,29.26,1.71,-7.24
"01/24/2019 02:00","GENESE",61753,20.47,-0.75,-0.90
"01/24/2019 02:00","H Q",61844,19.78,-0.54,0.00
"01/24/2019 02:00","HUD VL",61758,29.17,1.64,-7.21
"01/24/2019 02:00","LONGIL",61762,30.01,2.45,-7.25
"01/24/2019 02:00","MHK VL",61756,22.22,0.55,-1.36
"01/24/2019 02:00","MILLWD",61759,29.31,1.66,-7.34
"01/24/2019 02:00","N.Y.C.",61761,29.42,1.87,-7.25
"01/24/2019 02:00","NORTH",61755,19.52,-0.80,0.00
"01/24/2019 02:00","NPX",61845,29.92,1.57,-8.04
"01/24/2019 02:00","O H",61846,20.15,-1.32,-1.16
"01/24/2019 02:00","PJM",61847,24.78,0.32,-4.15
"01/24/2019 02:00","WEST",61752,20.46,-1.01,-1.16
"01/24/2019 03:00","CAPITL",61757,27.33,1.77,-0.01
"01/24/2019 03:00","CENTRL",61754,25.73,0.17,0.00
"01/24/2019 03:00","DUNWOD",61760,27.62,2.06,0.00
"01/24/2019 03:00","GENESE",61753,24.63,-0.93,0.00
"01/24/2019 03:00","H Q",61844,24.93,-0.63,0.00
"01/24/2019 03:00","HUD VL",61758,27.55,1.99,0.00
"01/24/2019 03:00","LONGIL",61762,28.54,2.98,0.00
"01/24/2019 03:00","MHK VL",61756,26.27,0.71,0.00
"01/24/2019 03:00","MILLWD",61759,27.57,2.00,0.00
"01/24/2019 03:00","N.Y.C.",61761,27.83,2.27,0.00
"01/24/2019 03:00","NORTH",61755,24.69,-0.87,0.00
"01/24/2019 03:00","NPX",61845,27.55,1.91,-0.07
"01/24/2019 03:00","O H",61846,23.90,-1.66,0.00
"01/24/2019 03:00","PJM",61847,25.89,0.33,0.00
"01/24/2019 03:00","WEST",61752,24.32,-1.25,0.00
"01/24/2019 04:00","CAPITL",61757,24.79,1.61,0.00
"01/24/2019 04:00","CENTRL",61754,23.30,0.13,0.00
"01/24/2019 04:00","DUNWOD",61760,25.13,1.95,0.00
"01/24/2019 04:00","GENESE",61753,22.29,-0.89,0.00
"01/24/2019 04:00","H Q",61844,22.60,-0.58,0.00
"01/24/2019 04:00","HUD VL",61758,25.06,1.89,0.00
"01/24/2019 04:00","LONGIL",61762,25.98,2.81,0.00
"01/24/2019 04:00","MHK VL",61756,23.85,0.68,0.00
"01/24/2019 04:00","MILLWD",61759,25.07,1.89,0.00
"01/24/2019 04:00","N.Y.C.",61761,25.31,2.14,0.00
"01/24/2019 04:00","NORTH",61755,22.47,-0.70,0.00
"01/24/2019 04:00","NPX",61845,24.87,1.77,0.08
"01/24/2019 04:00","O H",61846,21.57,-1.60,0.00
"01/24/2019 04:00","PJM",61847,23.48,0.31,0.00
"01/24/2019 04:00","WEST",61752,21.98,-1.20,0.00
"01/24/2019 05:00","CAPITL",61757,29.42,1.91,-1.97
"01/24/2019 05:00","CENTRL",61754,26.04,0.24,-0.25
"01/24/2019 05:00","DUNWOD",61760,29.25,2.26,-1.44
"01/24/2019 05:00","GENESE",61753,24.99,-0.73,-0.18
"01/24/2019 05:00","H Q",61844,24.88,-0.66,0.00
"01/24/2019 05:00","HUD VL",61758,29.17,2.19,-1.44
"01/24/2019 05:00","LONGIL",61762,30.26,3.27,-1.44
