"Time Stamp","Name","PTID","LBMP ($/MWHr)","Marginal Cost Losses ($/MWHr)","Marginal Cost Congestion ($/MWHr)"
"05/13/2021 00:00","CAPITL",61757,25.45,1.47,0.00
"05/13/2021 00:00","CENTRL",61754,24.30,0.32,0.00
"05/13/2021 00:00","DUNWOD",61760,26.02,2.04,0.00
"05/13/2021 00:00","GENESE",61753,23.94,-0.04,0.00
"05/13/2021 00:00","H Q",61844,22.21,-0.48,1.29
"05/13/2021 00:00","HUD VL",61758,25.67,1.69,0.00
"05/13/2021 00:00","LONGIL",61762,26.17,2.18,0.00
"05/13/2021 00:00","MHK VL",61756,23.66,0.13,0.45
"05/13/2021 00:00","MILLWD",61759,25.89,1.91,0.00
"05/13/2021 00:00","N.Y.C.",61761,26.20,2.22,0.00
"05/13/2021 00:00","NORTH",61755,17.91,-0.42,5.65
"05/13/2021 00:00","NPX",61845,25.09,1.27,0.16
"05/13/2021 00:00","O H",61846,23.66,-0.32,0.00
"05/13/2021 00:00","PJM",61847,25.09,1.11,0.00
"05/13/2021 00:00","WEST",61752,24.35,0.36,0.00
"05/13/2021 01:00","CAPITL",61757,24.29,1.34,-1.49
"05/13/2021 01:00","CENTRL",61754,21.92,0.26,-0.20
"05/13/2021 01:00","DUNWOD",61760,24.33,1.81,-1.07
"05/13/2021 01:00","GENESE",61753,21.61,-0.03,-0.18
"05/13/2021 01:00","H Q",61844,21.03,-0.43,0.00
"05/13/2021 01:00","HUD VL",61758,24.00,1.50,-1.05
"05/13/2021 01:00","LONGIL",61762,24.40,1.87,-1.07
"05/13/2021 01:00","MHK VL",61756,21.69,0.05,-0.18
"05/13/2021 01:00","MILLWD",61759,24.24,1.70,-1.08
"05/13/2021 01:00","N.Y.C.",61761,24.49,1.96,-1.07
"05/13/2021 01:00","NORTH",61755,21.09,-0.37,0.00
"05/13/2021 01:00","NPX",61845,23.88,1.18,-1.24
"05/13/2021 01:00","O H",61846,21.42,-0.24,-0.20
"05/13/2021 01:00","PJM",61847,23.10,0.98,-0.66
"05/13/2021 01:00","WEST",61752,22.02,0.34,-0.21
"05/13/2021 02:00","CAPITL",61757,24.95,0.49,-16.51
"05/13/2021 02:00","CENTRL",61754,10.30,0.09,-2.26
"05/13/2021 02:00","DUNWOD",61760,20.49,0.66,-11.88
"05/13/2021 02:00","GENESE",61753,9.92,-0.03,-2.00
"05/13/2021 02:00","H Q",61844,7.80,-0.15,0.00
"05/13/2021 02:00","HUD VL",61758,20.12,0.55,-11.62
"05/13/2021 02:00","LONGIL",61762,20.53,0.69,-11.89
"05/13/2021 02:00","MHK VL",61756,9.94,0.01,-1.98
"05/13/2021 02:00","MILLWD",61759,20.54,0.62,-11.96
"05/13/2021 02:00","N.Y.C.",61761,20.55,0.71,-11.89
"05/13/2021 02:00","NORTH",61755,7.81,-0.14,0.00
"05/13/2021 02:00","NPX",61845,22.16,0.43,-13.78
"05/13/2021 02:00","O H",61846,10.10,-0.11,-2.26
"05/13/2021 02:00","PJM",61847,15.65,0.35,-7.35
"05/13/2021 02:00","WEST",61752,10.42,0.10,-2.38
"05/13/2021 03:00","CAPITL",61757,26.07,0.48,-17.85
"05/13/2021 03:00","CENTRL",61754,10.29,0.10,-2.46
"05/13/2021 03:00","DUNWOD",61760,21.12,0.61,-12.77
"05/13/2021 03:00","GENESE",61753,9.88,-0.01,-2.16
"05/13/2021 03:00","H Q",61844,5.89,-0.15,1.69
"05/13/2021 03:00","HUD VL",61758,20.85,0.53,-12.59
"05/13/2021 03:00","LONGIL",61762,21.14,0.62,-12.78
"05/13/2021 03:00","MHK VL",61756,9.27,-0.02,-1.56
"05/13/2021 03:00","MILLWD",61759,21.22,0.59,-12.90
"05/13/2021 03:00","N.Y.C.",61761,21.18,0.67,-12.78
"05/13/2021 03:00","NORTH",61755,0.17,-0.16,7.40
"05/13/2021 03:00","NPX",61845,23.05,0.41,-14.90
"05/13/2021 03:00","O H",61846,10.09,-0.09,-2.44
"05/13/2021 03:00","PJM",61847,16.06,0.35,-7.98
"05/13/2021 03:00","WEST",61752,10.42,0.12,-2.57
"05/13/2021 04:00","CAPITL",61757,25.22,1.00,-8.29
"05/13/2021 04:00","CENTRL",61754,17.29,0.22,-1.14
"05/13/2021 04:00","DUNWOD",61760,23.11,1.27,-5.92
"05/13/2021 04:00","GENESE",61753,16.93,0.01,-1.00
"05/13/2021 04:00","H Q",61844,13.21,-0.31,2.41
"05/13/2021 04:00","HUD VL",61758,22.80,1.06,-5.81
"05/13/2021 04:00","LONGIL",61762,23.17,1.32,-5.92
"05/13/2021 04:00","MHK VL",61756,16.14,0.04,-0.18
"05/13/2021 04:00","MILLWD",61759,23.07,1.17,-5.98
"05/13/2021 04:00","N.Y.C.",61761,23.23,1.39,-5.92
"05/13/2021 04:00","NORTH",61755,5.09,-0.32,10.51
"05/13/2021 04:00","NPX",61845,23.68,0.83,-6.93
"05/13/2021 04:00","O H",61846,16.90,-0.16,-1.13
"05/13/2021 04:00","PJM",61847,20.30,0.71,-3.66
"05/13/2021 04:00","WEST",61752,17.40,0.28,-1.19
"05/13/2021 05:00","CAPITL",61757,24.77,1.47,0.00
"05/13/2021 05:00","CENTRL",61754,23.73,0.43,0.00
"05/13/2021 05:00","DUNWOD",61760,25.11,1.80,0.00
"05/13/2021 05:00","GENESE",61753,23.57,0.27,0.00
"05/13/2021 05:00","H Q",61844,22.84,-0.46,0.00
"05/13/2021 05:00","HUD VL",61758,24.81,1.51,0.00
"05/13/2021 05:00","LONGIL",61762,25.20,1.90,0.00
"05/13/2021 05:00","MHK VL",61756,23.53,0.23,0.00
"05/13/2021 05:00","MILLWD",61759,24.96,1.66,0.00
"05/13/2021 05:00","N.Y.C.",61761,25.25,1.95,0.00
"05/13/2021 05:00","NORTH",61755,22.89,-0.41,0.00
"05/13/2021 05:00","NPX",61845,24.44,1.14,0.00
"05/13/2021 05:00","O H",61846,23.32,0.02,0.00
"05/13/2021 05:00","PJM",61847,24.38,1.07,0.00
"05/13/2021 05:00","WEST",61752,23.99,0.68,0.00
"05/13/2021 06:00","CAPITL",61757,24.29,1.44,-1.56
"05/13/2021 06:00","CENTRL",61754,21.95,0.45,-0.21
"05/13/2021 06:00","DUNWOD",61760,24.20,1.81,-1.10
"05/13/2021 06:00","GENESE",61753,21.53,0.05,-0.19
"05/13/2021 06:00","H Q",61844,16.24,-0.48,4.57
"05/13/2021 06:00","HUD VL",61758,23.91,1.55,-1.07
"05/13/2021 06:00","LONGIL",61762,24.29,1.90,-1.10
"05/13/2021 06:00","MHK VL",61756,20.33,0.34,1.30
"05/13/2021 06:00","MILLWD",61759,24.07,1.68,-1.10
"05/13/2021 06:00","N.Y.C.",61761,24.34,1.95,-1.10
"05/13/2021 06:00","NORTH",61755,1.06,-0.42,19.82
