"Time Stamp","Name","PTID","LBMP ($/MWHr)","Marginal Cost Losses ($/MWHr)","Marginal Cost Congestion ($/MWHr)"
"06/27/2019 00:00","CAPITL",61757,21.72,1.22,-0.12
"06/27/2019 00:00","CENTRL",61754,20.98,0.18,-0.43
"06/27/2019 00:00","DUNWOD",61760,23.75,1.98,-1.41
"06/27/2019 00:00","GENESE",61753,21.08,-0.31,-1.01
"06/27/2019 00:00","H Q",61844,20.82,-0.51,-0.96
"06/27/2019 00:00","HUD VL",61758,21.57,1.66,0.46
"06/27/2019 00:00","LONGIL",61762,43.04,2.57,-20.10
"06/27/2019 00:00","MHK VL",61756,20.74,0.37,0.00
"06/27/2019 00:00","MILLWD",61759,22.65,1.88,-0.40
"06/27/2019 00:00","N.Y.C.",61761,23.99,2.22,-1.40
"06/27/2019 00:00","NORTH",61755,19.72,-0.65,0.00
"06/27/2019 00:00","NPX",61845,22.96,1.38,-1.20
"06/27/2019 00:00","O H",61846,17.04,-0.88,2.45
"06/27/2019 00:00","PJM",61847,23.96,0.58,-3.01
"06/27/2019 00:00","WEST",61752,40.57,-0.43,-20.63
"06/27/2019 01:00","CAPITL",61757,19.89,1.05,-0.14
"06/27/2019 01:00","CENTRL",61754,19.11,0.22,-0.19
"06/27/2019 01:00","DUNWOD",61760,22.11,1.78,-1.63
"06/27/2019 01:00","GENESE",61753,18.93,-0.20,-0.44
"06/27/2019 01:00","H Q",61844,18.41,-0.46,-0.17
"06/27/2019 01:00","HUD VL",61758,19.67,1.50,0.53
"06/27/2019 01:00","LONGIL",61762,23.40,2.36,-2.35
"06/27/2019 01:00","MHK VL",61756,19.01,0.31,0.00
"06/27/2019 01:00","MILLWD",61759,20.83,1.68,-0.46
"06/27/2019 01:00","N.Y.C.",61761,22.33,2.00,-1.63
"06/27/2019 01:00","NORTH",61755,18.10,-0.60,0.00
"06/27/2019 01:00","NPX",61845,20.03,1.18,-0.16
"06/27/2019 01:00","O H",61846,17.04,-0.59,1.06
"06/27/2019 01:00","PJM",61847,21.04,0.66,-1.69
"06/27/2019 01:00","WEST",61752,27.67,-0.17,-9.15
"06/27/2019 02:00","CAPITL",61757,19.61,1.03,0.00
"06/27/2019 02:00","CENTRL",61754,19.24,0.30,-0.36
"06/27/2019 02:00","DUNWOD",61760,20.35,1.77,0.00
"06/27/2019 02:00","GENESE",61753,21.87,-0.14,-3.43
"06/27/2019 02:00","H Q",61844,18.06,-0.51,0.00
"06/27/2019 02:00","HUD VL",61758,20.08,1.50,0.00
"06/27/2019 02:00","LONGIL",61762,20.91,2.34,0.00
"06/27/2019 02:00","MHK VL",61756,18.87,0.29,0.00
"06/27/2019 02:00","MILLWD",61759,20.25,1.67,0.00
"06/27/2019 02:00","N.Y.C.",61761,20.57,2.00,0.00
"06/27/2019 02:00","NORTH",61755,17.88,-0.70,0.00
"06/27/2019 02:00","NPX",61845,19.74,1.16,0.00
"06/27/2019 02:00","O H",61846,9.50,-0.39,8.68
"06/27/2019 02:00","PJM",61847,35.83,0.79,-16.46
"06/27/2019 02:00","WEST",61752,91.10,0.02,-72.50
"06/27/2019 03:00","CAPITL",61757,10.53,0.57,0.00
"06/27/2019 03:00","CENTRL",61754,10.10,0.13,0.00
"06/27/2019 03:00","DUNWOD",61760,10.91,0.94,0.00
"06/27/2019 03:00","GENESE",61753,10.34,-0.13,-0.52
"06/27/2019 03:00","H Q",61844,9.70,-0.27,0.00
"06/27/2019 03:00","HUD VL",61758,10.77,0.81,0.00
"06/27/2019 03:00","LONGIL",61762,11.21,1.25,0.00
"06/27/2019 03:00","MHK VL",61756,10.12,0.15,0.00
"06/27/2019 03:00","MILLWD",61759,10.86,0.89,0.00
"06/27/2019 03:00","N.Y.C.",61761,11.03,1.06,0.00
"06/27/2019 03:00","NORTH",61755,9.60,-0.36,0.00
"06/27/2019 03:00","NPX",61845,10.60,0.63,0.00
"06/27/2019 03:00","O H",61846,7.67,-0.28,2.01
"06/27/2019 03:00","PJM",61847,13.33,0.39,-2.98
"06/27/2019 03:00","WEST",61752,21.58,-0.07,-11.68
"06/27/2019 04:00","CAPITL",61757,13.03,0.75,0.00
"06/27/2019 04:00","CENTRL",61754,12.44,0.16,0.00
"06/27/2019 04:00","DUNWOD",61760,13.42,1.15,0.00
"06/27/2019 04:00","GENESE",61753,12.85,-0.18,-0.75
"06/27/2019 04:00","H Q",61844,11.93,-0.35,0.00
"06/27/2019 04:00","HUD VL",61758,13.26,0.98,0.00
"06/27/2019 04:00","LONGIL",61762,13.82,1.54,0.00
"06/27/2019 04:00","MHK VL",61756,12.48,0.20,0.00
"06/27/2019 04:00","MILLWD",61759,13.36,1.08,0.00
"06/27/2019 04:00","N.Y.C.",61761,13.57,1.29,0.00
"06/27/2019 04:00","NORTH",61755,11.82,-0.45,0.00
"06/27/2019 04:00","NPX",61845,12.91,0.80,0.16
"06/27/2019 04:00","O H",61846,10.08,-0.38,1.82
"06/27/2019 04:00","PJM",61847,16.79,0.46,-4.06
"06/27/2019 04:00","WEST",61752,28.42,-0.12,-16.26
"06/27/2019 05:00","CAPITL",61757,15.41,0.83,0.00
"06/27/2019 05:00","CENTRL",61754,15.06,0.15,-0.33
"06/27/2019 05:00","DUNWOD",61760,15.89,1.31,0.00
"06/27/2019 05:00","GENESE",61753,15.18,-0.25,-0.84
"06/27/2019 05:00","H Q",61844,14.25,-0.33,0.00
"06/27/2019 05:00","HUD VL",61758,15.69,1.11,0.00
"06/27/2019 05:00","LONGIL",61762,18.06,1.78,-1.70
"06/27/2019 05:00","MHK VL",61756,14.86,0.28,0.00
"06/27/2019 05:00","MILLWD",61759,15.82,1.24,0.00
"06/27/2019 05:00","N.Y.C.",61761,16.08,1.50,0.00
"06/27/2019 05:00","NORTH",61755,14.20,-0.39,0.00
"06/27/2019 05:00","NPX",61845,15.38,0.93,0.13
"06/27/2019 05:00","O H",61846,12.03,-0.52,2.03
"06/27/2019 05:00","PJM",61847,19.28,0.47,-4.23
"06/27/2019 05:00","WEST",61752,32.17,-0.21,-17.79
"06/27/2019 06:00","CAPITL",61757,18.70,0.97,-3.15
"06/27/2019 06:00","CENTRL",61754,15.60,0.22,-0.80
"06/27/2019 06:00","DUNWOD",61760,21.42,1.56,-5.27
"06/27/2019 06:00","GENESE",61753,15.78,-0.11,-1.30
