"Time Stamp","Name","PTID","LBMP ($/MWHr)","Marginal Cost Losses ($/MWHr)","Marginal Cost Congestion ($/MWHr)"
"03/05/2017 00:05:00","CAPITL",61757,23.47,1.47,0.00
"03/05/2017 00:05:00","CENTRL",61754,22.35,0.35,0.00
"03/05/2017 00:05:00","DUNWOD",61760,24.33,2.33,0.00
"03/05/2017 00:05:00","GENESE",61753,21.62,-0.37,0.00
"03/05/2017 00:05:00","H Q",61844,21.25,-0.75,0.00
"03/05/2017 00:05:00","HUD VL",61758,24.37,2.38,0.00
"03/05/2017 00:05:00","LONGIL",61762,24.92,2.93,0.00
"03/05/2017 00:05:00","MHK VL",61756,22.85,0.86,0.00
"03/05/2017 00:05:00","MILLWD",61759,24.44,2.44,0.00
"03/05/2017 00:05:00","N.Y.C.",61761,24.55,2.55,0.00
"03/05/2017 00:05:00","NORTH",61755,20.98,-1.01,0.00
"03/05/2017 00:05:00","NPX",61845,23.67,1.67,0.00
"03/05/2017 00:05:00","O H",61846,21.01,-0.99,0.00
"03/05/2017 00:05:00","PJM",61847,22.77,0.77,0.00
"03/05/2017 00:05:00","WEST",61752,21.42,-0.57,0.00
"03/05/2017 00:10:00","CAPITL",61757,24.01,1.46,0.00
"03/05/2017 00:10:00","CENTRL",61754,22.99,0.45,0.00
"03/05/2017 00:10:00","DUNWOD",61760,24.89,2.34,0.00
"03/05/2017 00:10:00","GENESE",61753,22.27,-0.27,0.00
"03/05/2017 00:10:00","H Q",61844,21.75,-0.79,0.00
"03/05/2017 00:10:00","HUD VL",61758,24.93,2.39,0.00
"03/05/2017 00:10:00","LONGIL",61762,25.49,2.95,0.00
"03/05/2017 00:10:00","MHK VL",61756,23.45,0.90,0.00
"03/05/2017 00:10:00","MILLWD",61759,24.98,2.44,0.00
"03/05/2017 00:10:00","N.Y.C.",61761,25.09,2.55,0.00
"03/05/2017 00:10:00","NORTH",61755,21.51,-1.04,0.00
"03/05/2017 00:10:00","NPX",61845,24.19,1.64,0.00
"03/05/2017 00:10:00","O H",61846,21.73,-0.81,0.00
"03/05/2017 00:10:00","PJM",61847,23.47,0.92,0.00
"03/05/2017 00:10:00","WEST",61752,22.18,-0.36,0.00
"03/05/2017 00:15:00","CAPITL",61757,24.98,1.52,0.00
"03/05/2017 00:15:00","CENTRL",61754,23.90,0.44,0.00
"03/05/2017 00:15:00","DUNWOD",61760,25.87,2.42,0.00
"03/05/2017 00:15:00","GENESE",61753,23.10,-0.35,0.00
"03/05/2017 00:15:00","H Q",61844,22.63,-0.82,0.00
"03/05/2017 00:15:00","HUD VL",61758,25.92,2.46,0.00
"03/05/2017 00:15:00","LONGIL",61762,26.53,3.07,0.00
"03/05/2017 00:15:00","MHK VL",61756,24.39,0.94,0.00
"03/05/2017 00:15:00","MILLWD",61759,25.99,2.53,0.00
"03/05/2017 00:15:00","N.Y.C.",61761,26.08,2.63,0.00
"03/05/2017 00:15:00","NORTH",61755,22.38,-1.08,0.00
"03/05/2017 00:15:00","NPX",61845,25.19,1.74,0.00
"03/05/2017 00:15:00","O H",61846,22.52,-0.94,0.00
"03/05/2017 00:15:00","PJM",61847,24.37,0.91,0.00
"03/05/2017 00:15:00","WEST",61752,22.96,-0.49,0.00
"03/05/2017 00:20:00","CAPITL",61757,25.24,1.59,0.00
"03/05/2017 00:20:00","CENTRL",61754,24.03,0.38,0.00
"03/05/2017 00:20:00","DUNWOD",61760,26.14,2.48,0.00
"03/05/2017 00:20:00","GENESE",61753,23.18,-0.47,0.00
"03/05/2017 00:20:00","H Q",61844,22.85,-0.80,0.00
"03/05/2017 00:20:00","HUD VL",61758,26.16,2.51,0.00
"03/05/2017 00:20:00","LONGIL",61762,26.78,3.12,0.00
"03/05/2017 00:20:00","MHK VL",61756,24.60,0.95,0.00
"03/05/2017 00:20:00","MILLWD",61759,26.24,2.58,0.00
"03/05/2017 00:20:00","N.Y.C.",61761,26.35,2.70,0.00
"03/05/2017 00:20:00","NORTH",61755,22.59,-1.06,0.00
"03/05/2017 00:20:00","NPX",61845,25.45,1.80,0.00
"03/05/2017 00:20:00","O H",61846,22.50,-1.16,0.00
"03/05/2017 00:20:00","PJM",61847,24.48,0.83,0.00
"03/05/2017 00:20:00","WEST",61752,22.95,-0.71,0.00
"03/05/2017 00:25:00","CAPITL",61757,25.40,1.62,0.00
"03/05/2017 00:25:00","CENTRL",61754,24.09,0.31,0.00
"03/05/2017 00:25:00","DUNWOD",61760,26.30,2.52,0.00
"03/05/2017 00:25:00","GENESE",61753,23.24,-0.55,0.00
"03/05/2017 00:25:00","H Q",61844,22.98,-0.81,0.00
"03/05/2017 00:25:00","HUD VL",61758,26.33,2.55,0.00
"03/05/2017 00:25:00","LONGIL",61762,26.95,3.16,0.00
"03/05/2017 00:25:00","MHK VL",61756,24.71,0.93,0.00
"03/05/2017 00:25:00","MILLWD",61759,26.40,2.62,0.00
"03/05/2017 00:25:00","N.Y.C.",61761,26.54,2.76,0.00
"03/05/2017 00:25:00","NORTH",61755,22.71,-1.07,0.00
"03/05/2017 00:25:00","NPX",61845,25.64,1.86,0.00
"03/05/2017 00:25:00","O H",61846,22.48,-1.31,0.00
"03/05/2017 00:25:00","PJM",61847,24.52,0.74,0.00
"03/05/2017 00:25:00","WEST",61752,22.93,-0.86,0.00
"03/05/2017 00:30:00","CAPITL",61757,25.40,1.62,0.00
"03/05/2017 00:30:00","CENTRL",61754,24.09,0.31,0.00
"03/05/2017 00:30:00","DUNWOD",61760,26.30,2.52,0.00
