"Time Stamp","Name","PTID","LBMP ($/MWHr)","Marginal Cost Losses ($/MWHr)","Marginal Cost Congestion ($/MWHr)"
"11/30/2016 00:00","CAPITL",61757,23.97,1.48,0.00
"11/30/2016 00:00","CENTRL",61754,22.65,0.15,0.00
"11/30/2016 00:00","DUNWOD",61760,24.06,1.57,0.00
"11/30/2016 00:00","GENESE",61753,22.00,-0.50,0.00
"11/30/2016 00:00","H Q",61844,21.93,-0.57,0.00
"11/30/2016 00:00","HUD VL",61758,24.03,1.54,0.00
"11/30/2016 00:00","LONGIL",61762,24.64,2.15,0.00
"11/30/2016 00:00","MHK VL",61756,22.93,0.43,0.00
"11/30/2016 00:00","MILLWD",61759,24.06,1.57,0.00
"11/30/2016 00:00","N.Y.C.",61761,24.16,1.67,0.00
"11/30/2016 00:00","NORTH",61755,22.05,-0.45,0.00
"11/30/2016 00:00","NPX",61845,24.04,1.55,0.00
"11/30/2016 00:00","O H",61846,21.29,-1.20,0.00
"11/30/2016 00:00","PJM",61847,22.57,0.08,0.00
"11/30/2016 00:00","WEST",61752,21.61,-0.88,0.00
"11/30/2016 01:00","CAPITL",61757,22.90,1.42,0.00
"11/30/2016 01:00","CENTRL",61754,21.61,0.13,0.00
"11/30/2016 01:00","DUNWOD",61760,22.88,1.39,0.00
"11/30/2016 01:00","GENESE",61753,20.95,-0.53,0.00
"11/30/2016 01:00","H Q",61844,20.96,-0.53,0.00
"11/30/2016 01:00","HUD VL",61758,22.88,1.40,0.00
"11/30/2016 01:00","LONGIL",61762,23.37,1.89,0.00
"11/30/2016 01:00","MHK VL",61756,21.88,0.39,0.00
"11/30/2016 01:00","MILLWD",61759,22.89,1.41,0.00
"11/30/2016 01:00","N.Y.C.",61761,22.99,1.51,0.00
"11/30/2016 01:00","NORTH",61755,21.08,-0.41,0.00
"11/30/2016 01:00","NPX",61845,22.94,1.45,0.00
"11/30/2016 01:00","O H",61846,20.31,-1.18,0.00
"11/30/2016 01:00","PJM",61847,21.52,0.03,0.00
"11/30/2016 01:00","WEST",61752,20.58,-0.90,0.00
"11/30/2016 02:00","CAPITL",61757,23.29,1.43,0.00
"11/30/2016 02:00","CENTRL",61754,21.97,0.11,0.00
"11/30/2016 02:00","DUNWOD",61760,23.22,1.36,0.00
"11/30/2016 02:00","GENESE",61753,21.29,-0.57,0.00
"11/30/2016 02:00","H Q",61844,21.33,-0.53,0.00
"11/30/2016 02:00","HUD VL",61758,23.24,1.38,0.00
"11/30/2016 02:00","LONGIL",61762,23.63,1.77,0.00
"11/30/2016 02:00","MHK VL",61756,22.25,0.39,0.00
"11/30/2016 02:00","MILLWD",61759,23.23,1.37,0.00
"11/30/2016 02:00","N.Y.C.",61761,23.34,1.48,0.00
"11/30/2016 02:00","NORTH",61755,21.46,-0.39,0.00
"11/30/2016 02:00","NPX",61845,23.30,1.44,0.00
"11/30/2016 02:00","O H",61846,20.65,-1.21,0.00
"11/30/2016 02:00","PJM",61847,21.87,0.01,0.00
"11/30/2016 02:00","WEST",61752,20.89,-0.97,0.00
"11/30/2016 03:00","CAPITL",61757,24.46,1.47,0.00
"11/30/2016 03:00","CENTRL",61754,23.15,0.16,0.00
"11/30/2016 03:00","DUNWOD",61760,24.37,1.39,0.00
"11/30/2016 03:00","GENESE",61753,22.44,-0.54,0.00
"11/30/2016 03:00","H Q",61844,22.43,-0.56,0.00
"11/30/2016 03:00","HUD VL",61758,24.40,1.42,0.00
"11/30/2016 03:00","LONGIL",61762,24.76,1.78,0.00
"11/30/2016 03:00","MHK VL",61756,23.41,0.43,0.00
"11/30/2016 03:00","MILLWD",61759,24.39,1.41,0.00
"11/30/2016 03:00","N.Y.C.",61761,24.51,1.53,0.00
"11/30/2016 03:00","NORTH",61755,22.58,-0.40,0.00
"11/30/2016 03:00","NPX",61845,24.47,1.47,-0.02
"11/30/2016 03:00","O H",61846,21.81,-1.18,0.00
"11/30/2016 03:00","PJM",61847,23.06,0.08,0.00
"11/30/2016 03:00","WEST",61752,22.06,-0.92,0.00
"11/30/2016 04:00","CAPITL",61757,21.20,1.25,0.00
"11/30/2016 04:00","CENTRL",61754,20.11,0.16,0.00
"11/30/2016 04:00","DUNWOD",61760,21.18,1.23,0.00
"11/30/2016 04:00","GENESE",61753,19.55,-0.40,0.00
"11/30/2016 04:00","H Q",61844,19.48,-0.48,0.00
"11/30/2016 04:00","HUD VL",61758,21.20,1.25,0.00
"11/30/2016 04:00","LONGIL",61762,21.57,1.62,0.00
"11/30/2016 04:00","MHK VL",61756,20.41,0.47,0.00
"11/30/2016 04:00","MILLWD",61759,21.20,1.25,0.00
"11/30/2016 04:00","N.Y.C.",61761,21.30,1.35,0.00
"11/30/2016 04:00","NORTH",61755,19.66,-0.29,0.00
"11/30/2016 04:00","NPX",61845,20.87,1.24,0.32
"11/30/2016 04:00","O H",61846,18.97,-0.98,0.00
"11/30/2016 04:00","PJM",61847,20.03,0.08,0.00
"11/30/2016 04:00","WEST",61752,19.20,-0.75,0.00
"11/30/2016 05:00","CAPITL",61757,26.15,1.63,0.00
"11/30/2016 05:00","CENTRL",61754,24.71,0.19,0.00
"11/30/2016 05:00","DUNWOD",61760,26.16,1.64,0.00
"11/30/2016 05:00","GENESE",61753,24.03,-0.49,0.00
"11/30/2016 05:00","H Q",61844,23.95,-0.57,0.00
"11/30/2016 05:00","HUD VL",61758,26.17,1.65,0.00
"11/30/2016 05:00","LONGIL",61762,26.81,2.29,0.00
"11/30/2016 05:00","MHK VL",61756,25.17,0.65,0.00
"11/30/2016 05:00","MILLWD",61759,26.18,1.66,0.00
"11/30/2016 05:00","N.Y.C.",61761,26.32,1.80,0.00
"11/30/2016 05:00","NORTH",61755,24.25,-0.27,0.00
"11/30/2016 05:00","NPX",61845,26.85,1.61,-0.72
"11/30/2016 05:00","O H",61846,23.19,-1.33,0.00
"11/30/2016 05:00","PJM",61847,24.63,0.11,0.00
"11/30/2016 05:00","WEST",61752,23.46,-1.06,0.00
"11/30/2016 06:00","CAPITL",61757,26.42,1.63,0.00
"11/30/2016 06:00","CENTRL",61754,25.02,0.23,0.00
"11/30/2016 06:00","DUNWOD",61760,26.63,1.84,0.00
"11/30/2016 06:00","GENESE",61753,24.23,-0.56,0.00
"11/30/2016 06:00","H Q",61844,24.17,-0.62,0.00
"11/30/2016 06:00","HUD VL",61758,26.64,1.85,0.00
"11/30/2016 06:00","LONGIL",61762,27.30,2.52,0.00
"11/30/2016 06:00","MHK VL",61756,25.62,0.83,0.00
"11/30/2016 06:00","MILLWD",61759,26.67,1.88,0.00
"11/30/2016 06:00","N.Y.C.",61761,26.78,1.99,0.00
"11/30/2016 06:00","NORTH",61755,24.54,-0.25,0.00
"11/30/2016 06:00","NPX",61845,26.38,1.60,0.00
"11/30/2016 06:00","O H",61846,23.15,-1.64,0.00
"11/30/2016 06:00","PJM",61847,24.93,0.14,0.00
"11/30/2016 06:00","WEST",61752,23.39,-1.40,0.00
"11/30/2016 07:00","CAPITL",61757,28.92,1.80,0.00
"11/30/2016 07:00","CENTRL",61754,27.39,0.26,0.00
"11/30/2016 07:00","DUNWOD",61760,29.35,2.22,0.00
"11/30/2016 07:00","GENESE",61753,26.52,-0.61,0.00
"11/30/2016 07:00","H Q",61844,26.43,-0.70,0.00
"11/30/2016 07:00","HUD VL",61758,29.34,2.22,0.00
"11/30/2016 07:00","LONGIL",61762,30.19,3.06,0.00
"11/30/2016 07:00","MHK VL",61756,28.11,0.98,0.00
"11/30/2016 07:00","MILLWD",61759,29.41,2.28,0.00
"11/30/2016 07:00","N.Y.C.",61761,29.51,2.38,0.00
"11/30/2016 07:00","NORTH",61755,26.85,-0.27,0.00
"11/30/2016 07:00","NPX",61845,28.97,1.82,-0.02
"11/30/2016 07:00","O H",61846,25.26,-1.86,0.00
"11/30/2016 07:00","PJM",61847,27.34,0.21,0.00
"11/30/2016 07:00","WEST",61752,25.56,-1.57,0.00
"11/30/2016 08:00","CAPITL",61757,29.01,1.80,0.00
"11/30/2016 08:00","CENTRL",61754,27.47,0.26,0.00
"11/30/2016 08:00","DUNWOD",61760,29.58,2.37,0.00
