"Time Stamp","Name","PTID","LBMP ($/MWHr)","Marginal Cost Losses ($/MWHr)","Marginal Cost Congestion ($/MWHr)"
"02/12/2019 00:05:00","CAPITL",61757,27.58,2.07,0.00
"02/12/2019 00:05:00","CENTRL",61754,25.69,0.18,0.00
"02/12/2019 00:05:00","DUNWOD",61760,27.68,2.17,0.00
"02/12/2019 00:05:00","GENESE",61753,25.11,-0.41,0.00
"02/12/2019 00:05:00","H Q",61844,24.85,-0.66,0.00
"02/12/2019 00:05:00","HUD VL",61758,27.58,2.07,0.00
"02/12/2019 00:05:00","LONGIL",61762,28.47,2.96,0.00
"02/12/2019 00:05:00","MHK VL",61756,26.28,0.76,0.00
"02/12/2019 00:05:00","MILLWD",61759,27.68,2.17,0.00
"02/12/2019 00:05:00","N.Y.C.",61761,27.89,2.37,0.00
"02/12/2019 00:05:00","NORTH",61755,25.06,-0.46,0.00
"02/12/2019 00:05:00","NPX",61845,27.89,2.37,0.00
"02/12/2019 00:05:00","O H",61846,24.24,-1.28,0.00
"02/12/2019 00:05:00","PJM",61847,18.95,0.20,6.77
"02/12/2019 00:05:00","WEST",61752,24.77,-0.74,0.00
"02/12/2019 00:10:00","CAPITL",61757,30.97,2.29,0.00
"02/12/2019 00:10:00","CENTRL",61754,28.93,0.26,0.00
"02/12/2019 00:10:00","DUNWOD",61760,31.05,2.38,0.00
"02/12/2019 00:10:00","GENESE",61753,28.27,-0.40,0.00
"02/12/2019 00:10:00","H Q",61844,27.93,-0.75,0.00
"02/12/2019 00:10:00","HUD VL",61758,30.94,2.26,0.00
"02/12/2019 00:10:00","LONGIL",61762,31.91,3.24,0.00
"02/12/2019 00:10:00","MHK VL",61756,29.53,0.86,0.00
"02/12/2019 00:10:00","MILLWD",61759,31.05,2.38,0.00
"02/12/2019 00:10:00","N.Y.C.",61761,31.28,2.61,0.00
"02/12/2019 00:10:00","NORTH",61755,28.16,-0.52,0.00
"02/12/2019 00:10:00","NPX",61845,31.31,2.64,0.00
"02/12/2019 00:10:00","O H",61846,27.35,-1.32,0.00
"02/12/2019 00:10:00","PJM",61847,22.22,0.32,6.77
"02/12/2019 00:10:00","WEST",61752,27.96,-0.72,0.00
"02/12/2019 00:15:00","CAPITL",61757,35.13,2.54,0.00
"02/12/2019 00:15:00","CENTRL",61754,32.98,0.39,0.00
"02/12/2019 00:15:00","DUNWOD",61760,35.10,2.51,0.00
"02/12/2019 00:15:00","GENESE",61753,32.16,-0.42,0.00
"02/12/2019 00:15:00","H Q",61844,31.74,-0.85,0.00
"02/12/2019 00:15:00","HUD VL",61758,35.00,2.41,0.00
"02/12/2019 00:15:00","LONGIL",61762,36.11,3.52,0.00
"02/12/2019 00:15:00","MHK VL",61756,33.57,0.98,0.00
"02/12/2019 00:15:00","MILLWD",61759,35.10,2.51,0.00
"02/12/2019 00:15:00","N.Y.C.",61761,35.33,2.74,0.00
"02/12/2019 00:15:00","NORTH",61755,32.03,-0.55,0.00
"02/12/2019 00:15:00","NPX",61845,35.46,2.87,0.00
"02/12/2019 00:15:00","O H",61846,31.22,-1.37,0.00
