"Time Stamp","Name","PTID","LBMP ($/MWHr)","Marginal Cost Losses ($/MWHr)","Marginal Cost Congestion ($/MWHr)"
"05/15/2020 00:00","CAPITL",61757,11.33,0.64,-0.17
"05/15/2020 00:00","CENTRL",61754,10.45,-0.09,-0.02
"05/15/2020 00:00","DUNWOD",61760,11.64,1.00,-0.12
"05/15/2020 00:00","GENESE",61753,10.16,-0.38,-0.02
"05/15/2020 00:00","H Q",61844,10.32,-0.20,0.00
"05/15/2020 00:00","HUD VL",61758,11.51,0.86,-0.12
"05/15/2020 00:00","LONGIL",61762,11.84,1.20,-0.12
"05/15/2020 00:00","MHK VL",61756,10.68,0.13,-0.02
"05/15/2020 00:00","MILLWD",61759,11.60,0.95,-0.12
"05/15/2020 00:00","N.Y.C.",61761,11.73,1.09,-0.12
"05/15/2020 00:00","NORTH",61755,10.29,-0.24,0.00
"05/15/2020 00:00","NPX",61845,11.38,0.71,-0.14
"05/15/2020 00:00","O H",61846,9.46,-1.08,-0.02
"05/15/2020 00:00","PJM",61847,10.76,0.16,-0.07
"05/15/2020 00:00","WEST",61752,9.65,-0.90,-0.02
"05/15/2020 01:00","CAPITL",61757,11.38,0.63,-0.35
"05/15/2020 01:00","CENTRL",61754,10.36,-0.09,-0.04
"05/15/2020 01:00","DUNWOD",61760,11.59,0.94,-0.25
"05/15/2020 01:00","GENESE",61753,10.09,-0.34,-0.03
"05/15/2020 01:00","H Q",61844,10.21,-0.19,0.00
"05/15/2020 01:00","HUD VL",61758,11.47,0.81,-0.26
"05/15/2020 01:00","LONGIL",61762,11.75,1.10,-0.25
"05/15/2020 01:00","MHK VL",61756,10.56,0.11,-0.04
"05/15/2020 01:00","MILLWD",61759,11.55,0.90,-0.26
"05/15/2020 01:00","N.Y.C.",61761,11.68,1.03,-0.25
"05/15/2020 01:00","NORTH",61755,10.17,-0.23,0.00
"05/15/2020 01:00","NPX",61845,11.42,0.71,-0.30
"05/15/2020 01:00","O H",61846,9.45,-0.98,-0.04
"05/15/2020 01:00","PJM",61847,10.72,0.16,-0.16
"05/15/2020 01:00","WEST",61752,9.63,-0.82,-0.04
"05/15/2020 02:00","CAPITL",61757,11.66,0.61,-0.71
