"Time Stamp","Name","PTID","LBMP ($/MWHr)","Marginal Cost Losses ($/MWHr)","Marginal Cost Congestion ($/MWHr)","Scarcity In Effect (Y/N)"
"01/21/2015 00:00","CAPITL",61757,22.45,1.37,0.00,""
"01/21/2015 00:00","CENTRL",61754,21.57,0.49,0.00,""
"01/21/2015 00:00","DUNWOD",61760,22.38,1.31,0.00,""
"01/21/2015 00:00","GENESE",61753,21.41,0.33,0.00,""
"01/21/2015 00:00","H Q",61844,17.68,-0.48,2.92,""
"01/21/2015 00:00","HUD VL",61758,22.48,1.40,0.00,""
"01/21/2015 00:00","LONGIL",61762,23.05,1.90,-0.08,""
"01/21/2015 00:00","MHK VL",61756,21.90,0.82,0.00,""
"01/21/2015 00:00","MILLWD",61759,22.46,1.38,0.00,""
"01/21/2015 00:00","N.Y.C.",61761,22.44,1.36,0.00,""
"01/21/2015 00:00","NORTH",61755,20.63,-0.45,0.00,""
"01/21/2015 00:00","NPX",61845,21.09,1.34,1.33,""
"01/21/2015 00:00","O H",61846,19.54,-0.21,1.33,""
"01/21/2015 00:00","PJM",61847,8.50,0.53,13.11,""
"01/21/2015 00:00","WEST",61752,21.38,0.30,0.00,""
"01/21/2015 01:00","CAPITL",61757,26.39,1.61,0.00,""
"01/21/2015 01:00","CENTRL",61754,25.37,0.59,0.00,""
"01/21/2015 01:00","DUNWOD",61760,26.25,1.47,0.00,""
"01/21/2015 01:00","GENESE",61753,25.19,0.41,0.00,""
"01/21/2015 01:00","H Q",61844,24.24,-0.55,0.00,""
"01/21/2015 01:00","HUD VL",61758,26.37,1.59,0.00,""
"01/21/2015 01:00","LONGIL",61762,26.84,2.06,0.00,""
"01/21/2015 01:00","MHK VL",61756,25.73,0.95,0.00,""
"01/21/2015 01:00","MILLWD",61759,26.34,1.56,0.00,""
"01/21/2015 01:00","N.Y.C.",61761,26.30,1.52,0.00,""
"01/21/2015 01:00","NORTH",61755,24.30,-0.48,0.00,""
"01/21/2015 01:00","NPX",61845,26.35,1.57,0.00,""
"01/21/2015 01:00","O H",61846,24.61,-0.17,0.00,""
"01/21/2015 01:00","PJM",61847,21.52,0.63,3.89,""
"01/21/2015 01:00","WEST",61752,25.21,0.42,0.00,""
"01/21/2015 02:00","CAPITL",61757,32.51,2.07,0.00,""
"01/21/2015 02:00","CENTRL",61754,31.12,0.68,0.00,""
"01/21/2015 02:00","DUNWOD",61760,32.29,1.85,0.00,""
"01/21/2015 02:00","GENESE",61753,30.88,0.44,0.00,""
"01/21/2015 02:00","H Q",61844,29.74,-0.70,0.00,""
"01/21/2015 02:00","HUD VL",61758,32.46,2.01,0.00,""
"01/21/2015 02:00","LONGIL",61762,33.02,2.57,0.00,""
"01/21/2015 02:00","MHK VL",61756,31.61,1.17,0.00,""
"01/21/2015 02:00","MILLWD",61759,32.40,1.96,0.00,""
"01/21/2015 02:00","N.Y.C.",61761,32.36,1.92,0.00,""
"01/21/2015 02:00","NORTH",61755,29.83,-0.62,0.00,""
"01/21/2015 02:00","NPX",61845,32.49,2.04,0.00,""
"01/21/2015 02:00","O H",61846,30.16,-0.28,0.00,""
"01/21/2015 02:00","PJM",61847,31.22,0.78,0.00,""
"01/21/2015 02:00","WEST",61752,30.87,0.43,0.00,""
"01/21/2015 03:00","CAPITL",61757,31.78,2.02,0.00,""
"01/21/2015 03:00","CENTRL",61754,30.43,0.66,0.00,""
"01/21/2015 03:00","DUNWOD",61760,31.58,1.82,0.00,""
"01/21/2015 03:00","GENESE",61753,30.14,0.37,0.00,""
"01/21/2015 03:00","H Q",61844,29.07,-0.70,0.00,""
"01/21/2015 03:00","HUD VL",61758,31.74,1.98,0.00,""
"01/21/2015 03:00","LONGIL",61762,32.29,2.53,0.00,""
"01/21/2015 03:00","MHK VL",61756,30.95,1.19,0.00,""
"01/21/2015 03:00","MILLWD",61759,31.69,1.92,0.00,""
"01/21/2015 03:00","N.Y.C.",61761,31.67,1.90,0.00,""
"01/21/2015 03:00","NORTH",61755,29.16,-0.60,0.00,""
"01/21/2015 03:00","NPX",61845,31.77,2.01,0.00,""
"01/21/2015 03:00","O H",61846,29.42,-0.34,0.00,""
"01/21/2015 03:00","PJM",61847,30.53,0.76,0.00,""
"01/21/2015 03:00","WEST",61752,30.11,0.34,0.00,""
"01/21/2015 04:00","CAPITL",61757,39.06,2.62,0.00,""
"01/21/2015 04:00","CENTRL",61754,37.20,0.77,0.00,""
"01/21/2015 04:00","DUNWOD",61760,38.80,2.36,0.00,""
"01/21/2015 04:00","GENESE",61753,36.89,0.45,0.00,""
"01/21/2015 04:00","H Q",61844,35.55,-0.89,0.00,""
"01/21/2015 04:00","HUD VL",61758,38.99,2.56,0.00,""
"01/21/2015 04:00","LONGIL",61762,39.62,3.19,0.00,""
"01/21/2015 04:00","MHK VL",61756,37.86,1.43,0.00,""
"01/21/2015 04:00","MILLWD",61759,38.94,2.50,0.00,""
"01/21/2015 04:00","N.Y.C.",61761,38.92,2.48,0.00,""
"01/21/2015 04:00","NORTH",61755,35.62,-0.82,0.00,""
"01/21/2015 04:00","NPX",61845,39.05,2.62,0.00,""
"01/21/2015 04:00","O H",61846,35.87,-0.57,0.00,""
"01/21/2015 04:00","PJM",61847,23.67,0.93,13.69,""
"01/21/2015 04:00","WEST",61752,36.70,0.27,0.00,""
"01/21/2015 05:00","CAPITL",61757,51.70,3.29,0.00,""
"01/21/2015 05:00","CENTRL",61754,49.75,1.33,0.00,""
"01/21/2015 05:00","DUNWOD",61760,51.26,2.85,0.00,""
"01/21/2015 05:00","GENESE",61753,49.51,1.09,0.00,""
"01/21/2015 05:00","H Q",61844,47.28,-1.14,0.00,""
"01/21/2015 05:00","HUD VL",61758,51.62,3.21,0.00,""
"01/21/2015 05:00","LONGIL",61762,52.14,3.72,0.00,""
"01/21/2015 05:00","MHK VL",61756,50.53,2.12,0.00,""
"01/21/2015 05:00","MILLWD",61759,51.49,3.08,0.00,""
"01/21/2015 05:00","N.Y.C.",61761,51.41,2.99,0.00,""
"01/21/2015 05:00","NORTH",61755,47.43,-0.98,0.00,""
"01/21/2015 05:00","NPX",61845,51.53,3.12,0.00,""
"01/21/2015 05:00","O H",61846,48.06,-0.35,0.00,""
