,neurons,filters,activation,learning_rate,kernel_size,pool_size,loss,val_loss
00,32,40,tanh,0.001,3,1,mse,0.19472865760326385
01,64,40,relu,0.0001,4,2,mse,0.1972888559103012
02,64,40,relu,0.001,3,1,mse,0.19766108691692352
03,32,20,relu,0.0001,3,2,mse,0.2053760439157486
04,32,40,relu,0.01,3,2,mse,0.20741914212703705
05,32,40,tanh,0.01,4,2,mse,0.22584445774555206
06,32,40,relu,0.001,2,2,mae,0.25354939699172974
07,32,20,tanh,0.01,3,1,mae,0.2884761393070221
08,64,20,sigmoid,0.01,3,1,mse,0.36993303894996643
09,64,40,sigmoid,0.01,2,1,mae,0.37065067887306213
