,neurons,filters,activation,learning_rate,kernel_size,pool_size,loss,val_loss
00,64,32,relu,0.0001,3,1,mse,0.19353556632995605
01,32,32,tanh,0.001,4,2,mse,0.19895923137664795
02,32,64,tanh,0.001,3,1,mse,0.2076207846403122
03,64,64,relu,1e-05,4,2,mse,0.21096564829349518
04,64,16,sigmoid,0.01,3,1,mse,0.21603651344776154
05,32,64,relu,0.01,3,2,mse,0.2463606894016266
06,64,64,sigmoid,0.001,2,1,mae,0.2524504065513611
07,32,16,relu,1e-05,3,2,mse,0.2570587396621704
08,32,32,relu,0.001,2,2,mae,0.2712021768093109
09,32,32,tanh,0.01,3,1,mae,0.2906859219074249
