"Time Stamp","Capitl","Centrl","Dunwod","Genese","Hud Vl","Longil","Mhk Vl","Millwd","N.Y.C.","North","West","NYISO"
"07/31/2021 00:00",1091,1367,584,891,860,2301,581,240,5396,512,1402,15225
"07/31/2021 01:00",1042,1319,558,857,814,2130,547,225,5167,501,1350,14510
"07/31/2021 02:00",1011,1296,530,835,780,2008,525,214,4955,489,1319,13962
"07/31/2021 03:00",1000,1278,510,822,758,1923,517,203,4797,481,1301,13590
"07/31/2021 04:00",998,1280,496,816,744,1885,517,199,4657,484,1291,13367
"07/31/2021 05:00",1008,1302,493,828,752,1868,527,197,4642,488,1297,13402
"07/31/2021 06:00",1017,1315,494,827,749,1859,540,201,4695,506,1295,13498
"07/31/2021 07:00",1042,1342,519,858,773,1955,557,214,4907,542,1328,14037
"07/31/2021 08:00",1062,1369,562,895,797,2106,586,238,5153,556,1391,14715
"07/31/2021 09:00",1064,1400,592,923,809,2245,608,258,5375,561,1442,15277
"07/31/2021 10:00",1076,1428,615,944,811,2349,622,275,5576,555,1480,15731
"07/31/2021 11:00",1078,1454,631,952,836,2480,629,285,5726,558,1510,16139
"07/31/2021 12:00",1088,1456,649,963,862,2590,633,298,5809,562,1522,16432
"07/31/2021 13:00",1096,1454,657,978,889,2709,622,304,5852,557,1522,16640
"07/31/2021 14:00",1126,1462,670,987,916,2806,618,310,5893,558,1533,16879
"07/31/2021 15:00",1169,1455,686,1005,956,2866,637,317,5954,565,1554,17164
"07/31/2021 16:00",1238,1502,701,1036,1020,2988,652,328,6018,576,1575,17634
"07/31/2021 17:00",1297,1552,700,1063,1075,3060,665,335,5957,584,1577,17865
"07/31/2021 18:00",1326,1576,694,1063,1097,3038,681,326,5916,593,1556,17866
"07/31/2021 19:00",1322,1595,679,1063,1081,2911,691,316,5798,606,1546,17608
"07/31/2021 20:00",1318,1591,673,1060,1068,2842,711,308,5776,608,1553,17508
"07/31/2021 21:00",1278,1562,664,1041,1031,2762,695,296,5766,602,1545,17242
"07/31/2021 22:00",1215,1503,643,999,969,2617,664,278,5658,581,1502,16629
"07/31/2021 23:00",1145,1436,615,958,912,2446,618,255,5515,558,1452,15910
"08/01/2021 00:00",1116,1362,578,890,853,2229,572,238,5280,522,1375,15015
"08/01/2021 01:00",1078,1329,553,855,811,2095,547,225,5081,511,1337,14422
"08/01/2021 02:00",1049,1303,529,830,781,2001,528,216,4911,500,1311,13959
"08/01/2021 03:00",1037,1282,511,815,762,1937,522,205,4786,494,1290,13641
"08/01/2021 04:00",1033,1281,502,808,748,1912,522,203,4673,495,1282,13459
"08/01/2021 05:00",1030,1289,498,817,749,1887,524,195,4658,500,1281,13428
"08/01/2021 06:00",1031,1296,501,813,742,1854,536,199,4693,506,1274,13445
"08/01/2021 07:00",1066,1318,519,840,758,1921,562,211,4864,531,1293,13883
"08/01/2021 08:00",1116,1364,560,893,798,2077,613,236,5113,551,1361,14682
"08/01/2021 09:00",1150,1419,589,929,831,2220,663,258,5346,569,1431,15405
"08/01/2021 10:00",1187,1469,620,960,859,2370,696,276,5601,571,1491,16100
"08/01/2021 11:00",1201,1528,648,1004,905,2547,713,291,5832,579,1547,16795
"08/01/2021 12:00",1241,1565,674,1046,956,2716,722,309,6005,581,1583,17398
"08/01/2021 13:00",1269,1576,691,1066,1000,2904,710,317,6135,577,1599,17844
"08/01/2021 14:00",1299,1600,707,1067,1038,3029,707,324,6210,578,1597,18156
"08/01/2021 15:00",1336,1602,722,1075,1077,3093,718,331,6277,578,1592,18401
"08/01/2021 16:00",1385,1643,729,1076,1127,3177,725,342,6310,584,1598,18696
"08/01/2021 17:00",1441,1689,742,1104,1181,3234,734,357,6295,601,1601,18979
"08/01/2021 18:00",1440,1677,738,1107,1184,3183,728,347,6237,604,1569,18814
"08/01/2021 19:00",1423,1672,723,1104,1164,3035,730,340,6147,608,1556,18502
"08/01/2021 20:00",1435,1677,734,1104,1160,3024,741,334,6216,606,1572,18603
"08/01/2021 21:00",1383,1644,719,1090,1106,2906,716,319,6176,598,1577,18234
"08/01/2021 22:00",1288,1556,683,1017,1028,2709,669,295,6014,574,1497,17330
"08/01/2021 23:00",1207,1473,641,956,957,2497,623,266,5777,549,1423,16369
"08/02/2021 00:00",1130,1376,581,888,867,2264,582,232,5433,533,1369,15255
"08/02/2021 01:00",1103,1338,559,858,833,2143,560,217,5214,525,1333,14683
"08/02/2021 02:00",1075,1319,542,839,805,2050,550,210,5062,517,1315,14284
"08/02/2021 03:00",1069,1309,527,829,792,2002,546,205,4966,513,1306,14064
"08/02/2021 04:00",1080,1332,530,842,788,2011,555,204,4951,521,1326,14140
"08/02/2021 05:00",1115,1399,548,889,812,2048,587,208,5104,531,1378,14619
"08/02/2021 06:00",1168,1494,580,941,839,2096,633,223,5424,545,1450,15393
"08/02/2021 07:00",1237,1567,623,1002,882,2261,675,241,5829,567,1521,16405
"08/02/2021 08:00",1278,1613,663,1055,923,2448,705,261,6211,576,1593,17326
"08/02/2021 09:00",1295,1656,688,1086,941,2594,730,276,6490,582,1640,17978
"08/02/2021 10:00",1309,1692,713,1110,964,2738,745,290,6680,584,1684,18509
"08/02/2021 11:00",1319,1719,736,1135,1007,2915,742,304,6872,586,1730,19065
"08/02/2021 12:00",1327,1731,757,1151,1052,3085,749,319,7007,586,1755,19519
"08/02/2021 13:00",1362,1744,776,1171,1095,3257,730,331,7161,587,1799,20013
"08/02/2021 14:00",1371,1754,795,1172,1124,3379,710,339,7271,587,1805,20307
"08/02/2021 15:00",1398,1752,812,1178,1159,3470,705,349,7393,591,1791,20598
"08/02/2021 16:00",1451,1756,830,1188,1202,3581,716,359,7489,600,1803,20975
"08/02/2021 17:00",1517,1797,850,1222,1260,3692,736,373,7512,607,1806,21372
"08/02/2021 18:00",1543,1802,828,1228,1268,3644,748,369,7201,608,1788,21027
"08/02/2021 19:00",1520,1777,796,1212,1242,3430,764,359,6905,611,1739,20355
"08/02/2021 20:00",1505,1756,782,1185,1220,3298,782,349,6712,616,1719,19924
"08/02/2021 21:00",1436,1692,748,1147,1146,3092,753,325,6510,607,1693,19149
"08/02/2021 22:00",1326,1565,697,1055,1043,2822,691,294,6217,582,1604,17896
"08/02/2021 23:00",1221,1458,647,981,953,2554,632,265,5888,558,1507,16664
"08/03/2021 00:00",1182,1415,602,929,886,2341,606,244,5609,543,1415,15772
"08/03/2021 01:00",1139,1361,573,886,846,2188,579,225,5310,531,1360,14998
"08/03/2021 02:00",1103,1332,552,860,814,2080,564,217,5129,525,1329,14505
"08/03/2021 03:00",1094,1313,536,843,798,2022,557,210,5012,525,1308,14218
"08/03/2021 04:00",1101,1334,537,849,793,2026,565,208,4983,529,1318,14243
"08/03/2021 05:00",1136,1392,554,884,816,2066,594,212,5147,539,1359,14699
"08/03/2021 06:00",1194,1479,588,926,850,2141,641,229,5499,550,1424,15521
"08/03/2021 07:00",1271,1552,629,989,903,2307,684,245,5928,568,1490,16566
