"Time Stamp","Capitl","Centrl","Dunwod","Genese","Hud Vl","Longil","Mhk Vl","Millwd","N.Y.C.","North","West","NYISO"
"03/03/2021 00:00",1339,1725,559,1008,991,1988,833,304,4793,616,1503,15659
"03/03/2021 01:00",1309,1693,546,988,966,1907,813,291,4621,611,1469,15214
"03/03/2021 02:00",1296,1675,535,977,954,1861,801,290,4521,601,1451,14962
"03/03/2021 03:00",1295,1672,529,978,953,1853,797,290,4488,591,1444,14890
"03/03/2021 04:00",1323,1709,541,1007,969,1890,818,298,4513,595,1468,15131
"03/03/2021 05:00",1390,1813,565,1079,1016,2005,866,319,4715,611,1541,15920
"03/03/2021 06:00",1506,1980,612,1181,1090,2179,955,345,5078,645,1648,17219
"03/03/2021 07:00",1545,2035,642,1232,1106,2262,993,361,5437,678,1706,17997
"03/03/2021 08:00",1519,2025,650,1245,1077,2208,998,359,5678,690,1733,18182
"03/03/2021 09:00",1462,1977,642,1233,1018,2074,972,347,5749,675,1731,17880
"03/03/2021 10:00",1422,1947,627,1215,978,1977,958,334,5759,665,1738,17620
"03/03/2021 11:00",1401,1920,621,1204,955,1928,939,327,5765,654,1736,17450
"03/03/2021 12:00",1390,1886,617,1180,938,1899,920,318,5757,642,1726,17273
"03/03/2021 13:00",1373,1846,619,1171,938,1887,903,314,5718,631,1731,17131
"03/03/2021 14:00",1360,1823,621,1162,951,1908,892,318,5684,627,1710,17056
"03/03/2021 15:00",1389,1843,626,1165,987,2009,900,321,5694,631,1675,17240
"03/03/2021 16:00",1467,1891,647,1176,1057,2192,941,339,5759,648,1678,17795
"03/03/2021 17:00",1551,1948,677,1217,1147,2411,988,366,5886,678,1701,18570
"03/03/2021 18:00",1594,2026,712,1276,1208,2595,1022,392,5944,700,1769,19238
"03/03/2021 19:00",1559,2024,694,1269,1193,2548,1000,387,5863,698,1769,19004
"03/03/2021 20:00",1508,1969,672,1214,1157,2465,950,375,5686,680,1733,18409
"03/03/2021 21:00",1447,1879,637,1149,1103,2335,896,355,5489,650,1673,17613
"03/03/2021 22:00",1364,1765,590,1068,1028,2153,823,329,5201,616,1591,16528
"03/03/2021 23:00",1292,1695,549,1003,966,1983,776,304,4889,592,1517,15566
"03/04/2021 00:00",1244,1647,518,964,925,1854,745,276,4617,609,1486,14885
"03/04/2021 01:00",1225,1625,508,953,903,1791,730,266,4468,612,1460,14541
"03/04/2021 02:00",1220,1611,501,949,896,1754,726,268,4381,616,1449,14371
"03/04/2021 03:00",1228,1619,497,955,898,1753,727,270,4355,620,1449,14371
"03/04/2021 04:00",1264,1665,509,987,919,1801,757,276,4386,633,1481,14678
"03/04/2021 05:00",1341,1778,535,1056,970,1924,816,296,4601,645,1556,15518
"03/04/2021 06:00",1460,1964,586,1158,1048,2101,917,321,4967,678,1663,16863
"03/04/2021 07:00",1503,2037,623,1216,1080,2193,965,341,5346,702,1733,17739
"03/04/2021 08:00",1474,2052,637,1240,1063,2165,971,341,5593,695,1757,17988
"03/04/2021 09:00",1411,2027,636,1237,1029,2074,948,334,5711,685,1761,17853
"03/04/2021 10:00",1362,1998,629,1225,989,2000,934,326,5756,671,1768,17658
"03/04/2021 11:00",1324,1971,625,1215,973,1951,916,321,5767,661,1768,17492
"03/04/2021 12:00",1300,1942,617,1193,931,1917,891,312,5763,654,1760,17280
"03/04/2021 13:00",1278,1893,616,1181,905,1897,874,307,5734,651,1756,17092
"03/04/2021 14:00",1275,1874,613,1172,912,1922,861,310,5712,650,1731,17032
"03/04/2021 15:00",1335,1896,619,1171,957,2020,871,313,5726,654,1696,17258
"03/04/2021 16:00",1446,1948,644,1176,1047,2211,925,332,5798,670,1700,17897
"03/04/2021 17:00",1565,2017,677,1231,1153,2440,991,359,5940,690,1733,18796
"03/04/2021 18:00",1605,2099,713,1298,1218,2621,1037,385,6009,708,1804,19497
"03/04/2021 19:00",1592,2116,706,1300,1218,2608,1027,387,5953,715,1829,19451
"03/04/2021 20:00",1548,2061,693,1261,1194,2536,990,378,5803,701,1806,18971
"03/04/2021 21:00",1491,1972,663,1200,1145,2420,938,365,5625,679,1751,18249
"03/04/2021 22:00",1412,1859,619,1123,1076,2252,871,344,5353,659,1671,17239
"03/04/2021 23:00",1344,1796,581,1062,1019,2091,828,325,5063,647,1600,16356
"03/05/2021 00:00",1311,1721,555,1009,991,1982,805,302,4818,647,1554,15695
"03/05/2021 01:00",1291,1698,545,994,972,1923,794,295,4673,643,1524,15352
"03/05/2021 02:00",1285,1688,535,988,965,1885,788,295,4583,645,1508,15165
"03/05/2021 03:00",1294,1695,530,993,966,1882,789,298,4551,643,1505,15146
"03/05/2021 04:00",1333,1738,542,1023,986,1926,818,305,4580,653,1533,15437
"03/05/2021 05:00",1409,1849,567,1094,1039,2044,875,323,4788,668,1603,16259
"03/05/2021 06:00",1528,2033,620,1196,1110,2219,960,348,5142,698,1705,17559
"03/05/2021 07:00",1571,2110,659,1245,1128,2305,1004,367,5516,728,1767,18400
"03/05/2021 08:00",1544,2116,672,1262,1097,2265,1011,366,5761,726,1784,18604
"03/05/2021 09:00",1488,2075,669,1254,1044,2151,988,360,5881,720,1774,18404
"03/05/2021 10:00",1441,2042,658,1244,1009,2058,968,350,5916,709,1773,18168
"03/05/2021 11:00",1406,2000,651,1227,984,2015,939,342,5938,701,1764,17967
