"Time Stamp","Capitl","Centrl","Dunwod","Genese","Hud Vl","Longil","Mhk Vl","Millwd","N.Y.C.","North","West","NYISO"
"10/12/2021 00:00",1041,1364,491,937,777,1751,539,238,4465,536,1416,13555
"10/12/2021 01:00",1006,1324,468,899,743,1671,520,226,4293,530,1370,13050
"10/12/2021 02:00",986,1285,451,874,722,1616,507,221,4175,523,1339,12699
"10/12/2021 03:00",980,1274,439,858,712,1593,504,219,4119,523,1315,12536
"10/12/2021 04:00",999,1303,443,866,717,1619,518,224,4136,532,1317,12674
"10/12/2021 05:00",1062,1392,470,915,763,1718,577,240,4356,542,1372,13407
"10/12/2021 06:00",1187,1555,535,1007,852,1901,672,276,4840,567,1492,14884
"10/12/2021 07:00",1250,1648,590,1071,907,2008,718,296,5298,586,1570,15942
"10/12/2021 08:00",1237,1624,611,1074,918,2079,708,295,5604,590,1583,16323
"10/12/2021 09:00",1219,1588,625,1078,901,2108,685,294,5800,588,1590,16476
"10/12/2021 10:00",1219,1585,635,1094,883,2119,681,301,5892,586,1616,16611
"10/12/2021 11:00",1228,1592,641,1119,892,2139,676,302,5961,587,1648,16785
"10/12/2021 12:00",1230,1599,648,1148,915,2169,660,302,6023,587,1680,16961
"10/12/2021 13:00",1235,1627,652,1184,940,2227,653,306,6082,589,1728,17223
"10/12/2021 14:00",1246,1642,654,1206,951,2306,636,311,6109,585,1766,17412
"10/12/2021 15:00",1250,1663,663,1229,975,2371,643,316,6145,583,1788,17626
"10/12/2021 16:00",1282,1706,667,1246,1016,2447,666,322,6178,588,1805,17923
"10/12/2021 17:00",1352,1736,661,1252,1058,2479,712,332,6141,594,1805,18122
"10/12/2021 18:00",1427,1788,678,1286,1116,2579,774,349,6036,606,1825,18464
"10/12/2021 19:00",1420,1796,676,1284,1115,2543,781,348,5902,613,1822,18300
"10/12/2021 20:00",1362,1727,653,1236,1068,2436,741,334,5709,604,1765,17635
"10/12/2021 21:00",1284,1630,622,1167,997,2295,686,314,5462,582,1693,16732
"10/12/2021 22:00",1189,1524,574,1082,912,2109,631,286,5143,561,1606,15617
"10/12/2021 23:00",1106,1433,523,1008,834,1908,575,256,4786,545,1510,14484
"10/13/2021 00:00",1049,1368,488,943,782,1721,538,233,4499,535,1424,13580
"10/13/2021 01:00",1018,1329,464,903,748,1636,518,222,4317,530,1374,13059
"10/13/2021 02:00",997,1293,449,879,729,1583,507,217,4192,526,1342,12714
"10/13/2021 03:00",991,1281,438,865,721,1563,502,215,4132,525,1319,12552
"10/13/2021 04:00",1007,1311,439,877,726,1590,516,221,4144,532,1328,12691
"10/13/2021 05:00",1066,1406,467,931,769,1686,572,236,4355,544,1390,13422
"10/13/2021 06:00",1182,1564,529,1032,854,1870,665,274,4834,568,1516,14888
