"Time Stamp","Capitl","Centrl","Dunwod","Genese","Hud Vl","Longil","Mhk Vl","Millwd","N.Y.C.","North","West","NYISO"
"07/22/2021 00:00",1171,1497,672,1008,957,2517,609,283,6046,544,1551,16855
"07/22/2021 01:00",1117,1441,633,964,882,2341,569,256,5763,530,1490,15986
"07/22/2021 02:00",1081,1407,604,934,840,2208,548,240,5552,522,1448,15384
"07/22/2021 03:00",1065,1388,580,917,813,2126,538,228,5412,520,1422,15009
"07/22/2021 04:00",1075,1403,570,920,806,2103,545,223,5357,525,1430,14957
"07/22/2021 05:00",1111,1460,583,952,825,2123,576,229,5471,537,1473,15340
"07/22/2021 06:00",1175,1548,621,991,860,2177,628,251,5810,552,1528,16141
"07/22/2021 07:00",1260,1647,676,1061,928,2341,689,276,6231,574,1611,17294
"07/22/2021 08:00",1308,1703,723,1117,987,2526,729,297,6588,581,1688,18247
"07/22/2021 09:00",1337,1739,753,1161,1024,2670,739,314,6844,584,1726,18891
"07/22/2021 10:00",1367,1773,779,1210,1059,2825,753,332,7030,587,1770,19485
"07/22/2021 11:00",1411,1823,798,1252,1115,2998,769,347,7176,585,1829,20103
"07/22/2021 12:00",1442,1853,822,1276,1171,3187,783,363,7290,590,1867,20644
"07/22/2021 13:00",1477,1891,852,1312,1239,3357,809,382,7408,595,1911,21233
"07/22/2021 14:00",1508,1893,882,1326,1300,3503,811,400,7536,596,1933,21688
"07/22/2021 15:00",1529,1897,903,1348,1349,3649,807,417,7653,601,1948,22101
"07/22/2021 16:00",1567,1911,914,1368,1388,3753,814,418,7696,608,1964,22401
"07/22/2021 17:00",1608,1937,909,1374,1415,3769,831,421,7592,617,1968,22441
"07/22/2021 18:00",1620,1947,885,1369,1403,3698,838,412,7294,618,1929,22013
"07/22/2021 19:00",1592,1903,847,1326,1364,3527,829,397,7038,619,1871,21313
"07/22/2021 20:00",1568,1863,826,1283,1320,3386,826,391,6836,617,1828,20744
"07/22/2021 21:00",1502,1819,801,1252,1249,3233,798,375,6666,606,1823,20124
"07/22/2021 22:00",1388,1709,750,1168,1135,2975,740,342,6419,582,1774,18982
"07/22/2021 23:00",1275,1585,695,1079,1021,2701,669,304,6129,559,1664,17681
"07/23/2021 00:00",1176,1456,635,994,907,2446,597,260,5694,549,1523,16237
"07/23/2021 01:00",1120,1395,600,944,835,2278,557,235,5431,539,1457,15391
"07/23/2021 02:00",1086,1361,573,912,797,2160,538,223,5239,531,1416,14836
"07/23/2021 03:00",1069,1340,552,893,773,2087,528,214,5112,526,1390,14484
"07/23/2021 04:00",1078,1359,545,894,768,2067,534,211,5069,530,1392,14447
"07/23/2021 05:00",1113,1415,559,922,790,2091,566,216,5193,540,1432,14837
"07/23/2021 06:00",1173,1497,597,951,822,2149,618,236,5528,553,1477,15601
"07/23/2021 07:00",1255,1599,650,1020,888,2306,671,261,5954,577,1559,16740
"07/23/2021 08:00",1301,1659,700,1084,949,2491,712,285,6314,583,1638,17716
"07/23/2021 09:00",1330,1709,734,1135,997,2639,729,304,6577,585,1691,18430
"07/23/2021 10:00",1362,1753,761,1187,1039,2797,751,321,6775,590,1744,19080
"07/23/2021 11:00",1397,1803,781,1235,1099,2973,764,336,6922,591,1795,19696
"07/23/2021 12:00",1430,1831,802,1268,1161,3146,772,351,7025,591,1842,20219
"07/23/2021 13:00",1456,1863,825,1308,1227,3294,786,367,7115,595,1889,20725
"07/23/2021 14:00",1486,1873,848,1329,1277,3434,786,378,7230,595,1914,21150
"07/23/2021 15:00",1517,1891,868,1348,1320,3591,777,394,7348,598,1935,21587
"07/23/2021 16:00",1559,1909,882,1366,1352,3693,794,401,7425,603,1953,21937
"07/23/2021 17:00",1602,1924,878,1370,1374,3721,817,405,7357,603,1951,22002
"07/23/2021 18:00",1612,1922,852,1362,1365,3651,824,395,7068,603,1909,21563
"07/23/2021 19:00",1579,1885,817,1311,1333,3459,828,381,6793,608,1848,20842
"07/23/2021 20:00",1551,1833,800,1261,1297,3304,821,370,6611,608,1799,20255
"07/23/2021 21:00",1489,1783,777,1226,1232,3166,790,357,6472,600,1783,19675
"07/23/2021 22:00",1386,1677,735,1146,1133,2951,731,330,6247,583,1727,18646
"07/23/2021 23:00",1282,1559,687,1055,1026,2710,660,298,5989,561,1609,17436
"07/24/2021 00:00",1205,1404,638,964,931,2484,572,251,5642,544,1488,16123
"07/24/2021 01:00",1145,1343,603,911,863,2293,535,228,5402,531,1410,15264
"07/24/2021 02:00",1110,1306,575,878,824,2177,521,217,5236,522,1363,14729
"07/24/2021 03:00",1089,1279,553,853,801,2093,515,206,5112,516,1330,14347
"07/24/2021 04:00",1080,1275,541,845,793,2046,514,201,5028,515,1316,14154
"07/24/2021 05:00",1077,1301,542,852,800,2028,523,202,5015,515,1320,14175
"07/24/2021 06:00",1075,1319,548,854,802,2010,543,208,5069,518,1312,14258
"07/24/2021 07:00",1127,1368,577,894,840,2097,567,230,5274,542,1373,14889
"07/24/2021 08:00",1169,1439,629,950,887,2241,609,259,5546,555,1472,15756
"07/24/2021 09:00",1187,1509,667,1018,930,2405,619,283,5793,557,1551,16519
"07/24/2021 10:00",1204,1556,696,1073,965,2610,637,305,6086,560,1656,17348
"07/24/2021 11:00",1228,1606,720,1119,1010,2850,643,314,6286,564,1750,18090
"07/24/2021 12:00",1251,1640,743,1149,1086,3070,692,327,6378,563,1825,18724
"07/24/2021 13:00",1275,1675,765,1195,1142,3239,698,347,6425,567,1875,19203
"07/24/2021 14:00",1301,1725,788,1242,1195,3347,706,365,6476,572,1916,19633
"07/24/2021 15:00",1339,1757,808,1289,1266,3461,717,382,6573,579,1983,20154
"07/24/2021 16:00",1425,1815,827,1352,1307,3546,734,393,6602,589,2015,20605
"07/24/2021 17:00",1501,1918,827,1380,1334,3558,776,397,6529,599,2020,20839
"07/24/2021 18:00",1555,1936,818,1392,1331,3505,797,388,6434,604,1975,20735
"07/24/2021 19:00",1526,1909,791,1347,1286,3301,795,368,6297,605,1906,20131
"07/24/2021 20:00",1494,1879,783,1312,1269,3175,791,360,6259,604,1878,19804
"07/24/2021 21:00",1447,1832,771,1277,1222,3095,782,345,6208,600,1865,19444
"07/24/2021 22:00",1366,1737,749,1210,1146,2937,738,324,6069,581,1800,18657
"07/24/2021 23:00",1278,1620,714,1126,1064,2741,672,297,5893,563,1695,17663
"07/25/2021 00:00",1247,1485,648,1028,960,2503,598,256,5602,549,1561,16437
"07/25/2021 01:00",1195,1421,619,969,899,2321,562,237,5402,535,1478,15638
"07/25/2021 02:00",1162,1385,595,930,862,2213,546,226,5265,526,1425,15135
"07/25/2021 03:00",1139,1355,577,902,841,2139,539,218,5167,519,1385,14781
"07/25/2021 04:00",1126,1344,567,888,835,2101,537,213,5114,520,1364,14609
"07/25/2021 05:00",1125,1357,571,890,840,2096,545,214,5117,520,1366,14641
"07/25/2021 06:00",1126,1366,573,886,841,2070,562,217,5145,520,1357,14663
"07/25/2021 07:00",1169,1410,587,927,870,2139,592,234,5271,542,1408,15149
"07/25/2021 08:00",1230,1506,619,999,919,2296,655,259,5492,555,1507,16037
"07/25/2021 09:00",1273,1597,650,1074,971,2479,688,283,5743,564,1595,16917
"07/25/2021 10:00",1310,1667,679,1145,1018,2705,724,309,6076,567,1700,17900
"07/25/2021 11:00",1349,1741,706,1225,1075,2955,735,322,6354,572,1813,18847
"07/25/2021 12:00",1375,1800,735,1284,1156,3182,783,339,6523,575,1907,19659
"07/25/2021 13:00",1397,1840,769,1333,1217,3357,778,363,6668,577,1967,20266
"07/25/2021 14:00",1417,1880,803,1372,1263,3461,764,385,6780,579,1988,20692
"07/25/2021 15:00",1443,1924,835,1413,1332,3574,766,407,6928,586,2046,21254
"07/25/2021 16:00",1511,1993,867,1479,1378,3658,777,425,7003,598,2093,21782
"07/25/2021 17:00",1578,2105,880,1521,1417,3672,815,437,7018,610,2129,22182
"07/25/2021 18:00",1626,2127,880,1538,1413,3628,837,430,6978,614,2111,22182
"07/25/2021 19:00",1610,2088,866,1486,1380,3486,837,416,6936,616,2036,21757
"07/25/2021 20:00",1595,2053,871,1441,1367,3387,838,411,6981,617,2005,21566
"07/25/2021 21:00",1539,1997,863,1400,1322,3310,823,396,6999,611,2000,21260
