,neurons,filters,activation,learning_rate,kernel_size,pool_size,loss,val_loss
00,64,40,relu,0.001,3,1,mse,0.19540297985076904
01,32,40,tanh,0.001,3,1,mse,0.19675347208976746
02,64,40,relu,0.0001,4,2,mse,0.2047758847475052
03,32,20,relu,0.0001,3,2,mse,0.2146986573934555
04,32,40,tanh,0.01,4,2,mse,0.22393035888671875
05,32,40,relu,0.01,3,2,mse,0.2347501814365387
06,32,40,relu,0.001,2,2,mae,0.25751763582229614
07,32,20,tanh,0.01,3,1,mae,0.27892839908599854
08,64,20,sigmoid,0.01,3,1,mse,0.38500556349754333
09,64,40,sigmoid,0.01,2,1,mae,0.3878035545349121
