,neurons,filters,activation,learning_rate,kernel_size,pool_size,loss,val_loss
00,32,40,tanh,0.001,3,1,mse,0.19623729586601257
01,64,40,relu,0.001,3,1,mse,0.19954843819141388
02,64,40,relu,0.0001,4,2,mse,0.2084549516439438
03,32,20,relu,0.0001,3,2,mse,0.21255512535572052
04,32,40,tanh,0.01,4,2,mse,0.24200446903705597
05,32,40,relu,0.01,3,2,mse,0.2519010603427887
06,32,40,relu,0.001,2,2,mae,0.254698246717453
07,32,20,tanh,0.01,3,1,mae,0.2789314091205597
08,64,20,sigmoid,0.01,3,1,mse,0.3002598285675049
09,64,40,sigmoid,0.01,2,1,mae,0.373176634311676
