,neurons,filters,activation,learning_rate,kernel_size,pool_size,loss,val_loss
00,64,40,relu,0.0001,4,2,mse,0.1995287984609604
01,32,40,tanh,0.001,3,1,mse,0.20093317329883575
02,64,40,relu,0.001,3,1,mse,0.20323032140731812
03,32,20,relu,0.0001,3,2,mse,0.20949241518974304
04,32,40,tanh,0.01,4,2,mse,0.2384210228919983
05,64,20,sigmoid,0.01,3,1,mse,0.24308176338672638
06,32,40,relu,0.001,2,2,mae,0.2537766993045807
07,32,40,relu,0.01,3,2,mse,0.25505566596984863
08,32,20,tanh,0.01,3,1,mae,0.29093390703201294
09,64,40,sigmoid,0.01,2,1,mae,0.3672695457935333
